event,drop_ts_utc,condition_id,clob_token_id,korrekt_aufgeloestes_outcome,aufloesung_ts_utc,quelle_url,hinweis
melania_ai_talk,2026-01-16T17:00:00Z,0xb3dbb0f2e1df15cc820e0cde749eb112bf160994ec53a8ac57dceff9dbe5007e,62293449364589008944386324533927606169739225814069793529496999376135374665211,NO,2026-01-21T00:33:28Z,https://news.zoom.com/zoom-reinforces-commitment-to-ai-literacy-with-national-student-learning-experience/,Geplanter Beginn 12:00 ET (Praezision Stunde); Rede vorab aufgezeichnet als Eroeffnung des Zoom Webinars
baier_interview,2026-05-15T22:00:00Z,0x4382d7a5908ea9779dbc0daef377eaf77125757a913efc59f3a41b4647f7366c,68066403017329708889922900303171272270435237805242298460402334052672445828659,YES,2026-05-19T00:36:07Z,https://press.foxnews.com/2026/05/fox-news-channel-to-conduct-first-interview-with-president-donald-trump-from-beijing-following-meeting-with-chinese-president-xi-jinping,Beginn Special Report 18:00 EDT; Interviewclips zirkulierten bereits ab ca. 14:43 UTC vor der Ausstrahlung
netflix_earnings,2026-01-20T21:42:36Z,0x3afaa6c9c9487ab0eff39abb4e93be2647afcb4069e1ce8e6af5cca37de14438,9150172187999749270028515736853734790361197935118480975845332252523455886710,YES,2026-01-25T03:37:54Z,https://www.youtube.com/live/GYqP8zJLYKk,Tatsaechlicher Streamstart laut YouTube Livestream Metadaten 21:42:36 UTC
cnbc_kernen,2026-01-21T20:00:00Z,0xe867ba2fa5fe6b2a6353eea0cd9398a9d03a9a952fbe274d5048db8789498cae,50592195131998032447221625758878563952411810378800627653442315779889944941610,NO,2026-01-25T00:50:06Z,https://pressroom.versantmedia.com/cnbc/press-releases/cnbc-transcript-president-donald-trump-speaks-cnbcs-joe-kernen-davos,Erstausstrahlung Closing Bell ab 20:00 UTC (Praezision Stunde); Preisbewegung 19:32 bis 19:46 UTC durch separaten Truth Social Post vor der Ausstrahlung
panthers_visit,2026-01-15T21:21:00Z,0x288a6193d8f99f6cd90b4bd68f91a958cca08c87c2201193f73928ab52ba0172,84913441833618045284563122437264212540646526414408583148845271560734047110860,YES,2026-01-19T01:46:28Z,https://www.presidency.ucsb.edu/documents/pool-reports-january-15-2026,Tatsaechlicher Beginn laut Pool Report ca. 16:19 bis 16:21 ET
pgl_final,2026-04-11T14:00:00Z,0x83b5e51c5158709d5f068d7314978388b969cfcb06005d0952ba04eacf6078c9,9648570794926342234810337440548263299131503889218396734626666401146175163183,NO,2026-04-17T00:45:50Z,https://liquipedia.net/counterstrike/PGL/2026/Bucharest,Offiziell angesetzter Beginn 17:00 EEST (Praezision Stunde); BO5 Serie ueber mehrere Stunden
inauguration,2025-01-20T17:10:00Z,0xec062773d9bcb38e22d673402ea20e895c764e0f85d8691c541fa896812c1948,54646483567934544920182285415518057070162892401402399792355532045094039069738,NO,2025-01-20T20:49:28Z,https://www.whitehouse.gov/remarks/2025/01/the-inaugural-address/,Redebeginn laut White House Transkript 12:10 EST
powell_june,2025-06-18T18:30:00Z,0xa864970637119a0bd5033afd3347fcf4998578831e1fcae13c47a26e1c8ba960,8169026020839744971496855806967066206446181188292687998822946039706436315843,NO,2025-06-23T00:35:47Z,https://x.com/federalreserve/status/1935329597777920209,Pressekonferenz 14:30 EDT; FOMC Statement bereits 14:00 EDT als separater Informationszeitpunkt
allin_next_episode,2026-02-13T21:56:00Z,0xc7dee18fb2c02b56f45720e753d0e4483f441e04a40062d58227ce2d9bd5dd40,65380067573943412471748362051869474689006449354042653969122965828807065568870,YES,2026-02-17T04:36:57Z,https://allinchamathjason.libsyn.com/rss,"RSS pubDate minutengenau; Serie naechste Episode ohne Episodennummer, Zuordnung ueber Preis-Lock nach dieser Episode validiert; Konvergenz enthaelt Klaerungszeit der Aufloesung"
jre_trump_2219,2024-10-26T02:33:00Z,0x61a4709e69c966e531dd99d43b7e61dde4ee686e365ba9e242453b1ff33c3722,40265995327723058512884059065584670012524171259747665175335743407628251053085,NO,2024-10-26T06:45:50Z,https://feeds.megaphone.fm/GLT1412515089,RSS pubDate minutengenau; YouTube-Erstveroeffentlichung kann frueher am Abend gelegen haben
jre_vance_2221,2024-10-31T17:00:00Z,0x65f670cf6f0bbac44a2fa0fdb0df8a6841af0f5cc2a72ff11add4870d5319198,59805362042309325617603175198023517430607032284096323382515573118308665179642,NO,2024-11-01T00:36:30Z,https://feeds.megaphone.fm/GLT1412515089,"RSS pubDate auf ganze Stunde; geplant war Veroeffentlichung am 30.10., tatsaechlich 31.10."
southpark_s27e5,2025-09-25T02:00:00Z,0x0223472ec2eb0c8bf6cdbc2bd3669adc87cdf2a58ce144cf90c2fe7bdea2ca2f,112577197739472489479449779794338411229648098814379399272581695896914420183398,YES,2025-09-25T04:07:42Z,https://en.wikipedia.org/wiki/South_Park_season_27,"TV-Premiere Comedy Central 24.09.2025 22:00 ET; kein Podcast-RSS, Sendeplatz als Drop"
southpark_s27e6,2025-10-16T02:00:00Z,0x7ed7e68430cd942146f8ca5182f1640b1c226ae39cc8da355b36a00947306023,99688508241791710267114180363016295820549381654785737835601536653941248649367,YES,2025-10-19T02:09:06Z,https://en.wikipedia.org/wiki/South_Park_season_27,TV-Premiere Comedy Central 15.10.2025 22:00 ET; spaeter als Staffel-28-Premiere gefuehrt
