source_id,title,authors,year,venue,url,local_file,topic,hypothesis,method,relevance,status,notes
zotero_poly_001,The Anatomy of a Blockchain Prediction Market: Polymarket in the 2024 U.S. Presidential Election,Kwok Ping Tsang; Zichao Yang,2026,arXiv,https://arxiv.org/abs/2603.03136,C:\Users\chole\Zotero\Polymarket\2024 election.pdf,polymarket_kalshi_decentralized_markets,H1|H2|H3,empirical Polymarket election case study,high,skimmed,arXiv abstract checked; local PDF may be an older version; use for Polymarket transaction accounting and whale episode framing after full-paper review.
zotero_poly_002,Are Betting Markets Better than Polling in Predicting Political Elections?,Laurie E. Cutting; Sarah S. Hughes-Berheim; Paul M. Johnson; Hiba Baroud; Brett Goldstein,2025,arXiv,https://arxiv.org/abs/2507.08921,C:\Users\chole\Zotero\Polymarket\2507.08921v1.pdf,prediction_market_efficiency,H1|H2,betting markets versus polling comparison,high,skimmed,arXiv abstract checked; useful for forecast-source comparison framing; do not use to bypass documented probability transformations.
zotero_poly_003,Can Prediction Markets Beat Polls? What Polymarket Gets Right - and What It Misses,Crypto Ryan,2026,CryptoRyancy,https://www.cryptoryancy.com/prediction-markets-vs-polls/,C:\Users\chole\Zotero\Polymarket\Can Prediction Markets Beat Polls_ What Polymarket Gets Right — and What It Misses – CryptoRyancy.htm,prediction_market_efficiency,H1|strategy_prototype,industry commentary on prediction markets and polls,medium,skimmed,Local HTML and public page checked; context and question generation only; not academic evidence.
zotero_poly_004,Unverified EMH source PDF,unknown,unknown,local PDF,not_verified,C:\Users\chole\Zotero\Polymarket\EMH.pdf,prediction_market_efficiency,H1,theoretical efficient market hypothesis background,low,rejected,Local PDF metadata/text could not be verified; do not cite; replaced by canonical EMH source lit_emh_001.
zotero_poly_005,Insider Trading and Prediction Markets,Robin Hanson,2007,George Mason University working paper,https://hanson.gmu.edu/insiderbet.pdf,C:\Users\chole\Zotero\Polymarket\insiderbet.pdf,wallet_onchain_signal_detection,H3,insider-trading and prediction-market theory,medium,skimmed,Author and source page checked; use only for conceptual/legal framing; do not use to claim insider trading in H3 results.
zotero_poly_006,Makers and Takers: The Economics of the Kalshi Prediction Market,Constantin Buergi; Wanying Deng; Karl Whelan,2025,CESifo Working Paper No. 12122,https://ssrn.com/abstract=5502658,C:\Users\chole\Zotero\Polymarket\Kalshi Makers and takers paper.pdf,market_microstructure,strategy_prototype|architecture,market microstructure and maker-taker design,high,skimmed,SSRN abstract checked; use for microstructure and favourite-longshot bias comparison; not direct Polymarket evidence.
zotero_poly_007,Analysis of Prediction Markets in Crypto: Investigating Convergence in Time Volatility and Biases in Polymarket,Pavel Rezabek,2024,Charles University diploma thesis,http://hdl.handle.net/20.500.11956/194870,C:\Users\chole\Zotero\Polymarket\master thesis.pdf,prediction_market_efficiency,H1|H2|strategy_prototype,prior thesis background on Polymarket convergence volatility and bias,medium,skimmed,CU repository metadata and abstract checked; useful for framing volatility and bias limitations; not a substitute for this thesis empirical outputs.
zotero_poly_008,Polymarket Tightens Rules Amid Whale Wallets' $143M Edge - Regulatory Lags Create Trading Window,AInvest,2026,AInvest,https://www.ainvest.com/news/polymarket-tightens-rules-whale-wallets-143m-edge-regulatory-lags-create-trading-window-2603/,C:\Users\chole\Zotero\Polymarket\Polymarket Tightens Rules Amid Whale Wallets' $143M Edge—Regulatory Lags Create Trading Window.htm,wallet_onchain_signal_detection,H3|strategy_prototype,industry article on whale-wallet timing claims,low,candidate,AI-assisted article checked; contains strong insider and profit claims; use only as media-narrative context and not as evidence.
zotero_poly_009,Unveiling Polymarket: The Positioning Expansion and Shadows of Crypto Prediction Markets,Lydia Wu,2024,Mint Ventures,https://research.mintventures.fund/2024/10/09/Unveiling-Polymarket-The-Positioning-Expansion-and-Shadows-of-Crypto-Prediction-Markets,"C:\Users\chole\Zotero\Polymarket\Unveiling Polymarket_ The Positioning, Expansion, and Shadows of Crypto Prediction Markets - Mint Ventures.htm",polymarket_kalshi_decentralized_markets,H2|H3|strategy_prototype,industry research on Polymarket positioning and risks,medium,skimmed,Public page checked; useful for contextual framing of prediction markets as information-discovery tools; not academic evidence.
lit_emh_001,Efficient Capital Markets: A Review of Theory and Empirical Work,Eugene F. Fama,1970,The Journal of Finance,https://doi.org/10.2307/2325486,not_local,prediction_market_efficiency,H1|H2|strategy_prototype,canonical efficient market hypothesis reference,high,skimmed,Bibliographic metadata verified via DOI/index records; use to frame informational efficiency theory after reading relevant sections.
