case_id,state,poll_date_label,poll_date_timestamp_utc,poll_sources_used,poll_republican_pct,poll_democratic_pct,poll_margin_republican_minus_democratic,poll_error_mae_points,poll_error_sigma_points,poll_transform_name,poll_derived_probability,polymarket_forecast_timestamp_utc,polymarket_observed_at_utc,polymarket_market_slug,polymarket_market_id,polymarket_condition_id,target_outcome,target_token_id,outcome_value,polymarket_probability,polymarket_brier,poll_derived_brier,loss_advantage,lower_loss_source,poll_average_source_url,poll_average_endpoint_url,poll_error_source_url,polymarket_source_url,allowed_interpretation,limitation
us_2024_president_alaska_270towin_poll_average_republican,Alaska,Oct. 27,2024-10-27T00:00:00Z,1,51.0,43.0,8.0,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.9534976948102667,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-alaska-in-the-2024-us-presidential-election,255045,0xcec7958225b06aa2464a72d934ddcc9b66bb6f35ad065010496d8db92de412a0,Republican wins state,76626557395718138549682497346449622033790455953645207983251701172676708683039,1.0,0.955,0.002025000000000004,0.0021624643879590974,0.00013746438795909357,polymarket,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-alaska-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_arizona_270towin_poll_average_republican,Arizona,Nov. 4,2024-11-04T00:00:00Z,17,48.47,46.82,1.6499999999999986,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.6354976759016899,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-arizona-presidential-election,255051,0x4d848bab2da79b9ff7f2b2b0d9ddb048bb1fb47e9f782887f16e91d27de41279,Republican wins state,64972410044896218211047269420581789917870192018252181026286744947120013986348,1.0,0.795,0.042024999999999986,0.13286194427306947,0.09083694427306949,polymarket,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-arizona-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_arkansas_270towin_poll_average_republican,Arkansas,Sep. 13,2024-09-13T00:00:00Z,1,55.0,40.0,15.0,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.9991823734823563,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-arkansas-in-the-2024-us-presidential-election,255056,0xfd88c007f9dc1336d16c7109aad896e2aa619656fa38ead87b3e569eed4ceba1,Republican wins state,104091544416403282449055832231256209492811594546272123381676430271281377009495,1.0,0.9955,2.0249999999999537e-05,6.685131223541987e-07,-1.958148687764534e-05,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-arkansas-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_california_270towin_poll_average_republican,California,Nov. 4,2024-11-04T00:00:00Z,5,34.2,59.0,-24.799999999999997,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,9.583165028193008e-08,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-california-in-the-2024-us-presidential-election,255061,0x6964df311eba3add433112c9ab13ef529c8e2e07e7c115b9cc548de035f5b25f,Republican wins state,99830846713807084277950392215452568080477500108350730334986898631459175275385,0.0,0.0135,0.00018224999999999998,9.18370519575815e-15,-0.00018224999999081628,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-california-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_colorado_270towin_poll_average_republican,Colorado,Nov. 3,2024-11-03T00:00:00Z,2,42.5,52.5,-10.0,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.017877786486121205,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-colorado-in-the-2024-us-presidential-election,255066,0x436b731d219f6da8caf7147d02d2a18e31ca770154225aef63c52f632e36e564,Republican wins state,106556635471772911586614313989151393945990110659335310095262547110240967181207,0.0,0.036,0.0012959999999999998,0.000319615249643338,-0.0009763847503566619,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-colorado-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_connecticut_270towin_poll_average_republican,Connecticut,Sep. 23,2024-09-23T00:00:00Z,1,41.0,57.0,-16.0,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.00039039855975669946,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-connecticut-in-the-2024-us-presidential-election,255071,0x0fb3071db6a07c5e7ec2e94db77ac94d580788aec6f223f618662cb7f3e95cde,Republican wins state,38390716162236669376777578672738922254175457432609528432958168185061562868880,0.0,0.016,0.000256,1.5241103546010525e-07,-0.00025584758896453986,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-connecticut-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_delaware_270towin_poll_average_republican,Delaware,Sep. 27,2024-09-27T00:00:00Z,2,36.5,55.0,-18.5,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,5.128343195581753e-05,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-delaware-presidential-election,500506,0x05a16ffcfaa6948233c1cc448f87acddf1ea144597b424739dd4a2e07f397b04,Republican wins state,87043082768935693715129767462273934029587358151911416123872278358961719248124,0.0,0.0155,0.00024024999999999999,2.6299903931669662e-09,-0.00024024737000960682,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-delaware-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_florida_270towin_poll_average_republican,Florida,Nov. 4,2024-11-04T00:00:00Z,8,51.13,44.88,6.25,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.9052922426906092,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-florida-in-the-2024-us-presidential-election,255083,0x5a06bb8f86198aac8ae8b9a2610f1bdcf8954123dc51d51a3e6c492f88821ba8,Republican wins state,98021166935117039411751630581502824091054448039251810280365647472625878604011,1.0,0.955,0.002025000000000004,0.008969559294574476,0.006944559294574472,polymarket,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-florida-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_georgia_270towin_poll_average_republican,Georgia,Nov. 4,2024-11-04T00:00:00Z,15,48.73,47.53,1.1999999999999957,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.599465379322515,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-georgia-presidential-election,255087,0x7606802127355512c8f8ff9c70ef27a2717a8554374d84452de4c7d28147338d,Republican wins state,10874846387975190407444713373765853114527145924436779240006871443341352408992,1.0,0.68,0.10239999999999996,0.1604279823612568,0.058027982361256836,polymarket,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-georgia-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
us_2024_president_indiana_270towin_poll_average_republican,Indiana,Sep. 29,2024-09-29T00:00:00Z,2,56.0,39.5,16.5,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.9997343896965971,2024-11-05T13:22:58Z,2024-11-05T13:00:02Z,will-a-republican-win-indiana-in-the-2024-us-presidential-election,255107,0x7519824e6a81fe711904c58b0f1aca91e6ddcf3d10510eb84d6a26338f025910,Republican wins state,15920244308774217097829319597932290823172348889536312734584288906945953156487,1.0,0.982,0.00032400000000000056,7.054883327377294e-08,-0.0003239294511667268,poll_derived_forecast,https://www.270towin.com/2024-presidential-election-polls/,https://www.270towin.com/polls/php/get-polls-by-state.php,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/market/will-a-republican-win-indiana-in-the-2024-us-presidential-election,State-level Brier comparison between a Polymarket Republican-win state snapshot and a 270toWin polling-average margin transformed into a Republican-win probability.,"270toWin polling averages are transformed margin inputs, not raw win probabilities; all states share one presidential election context."
