audit_id,audit_label,source_artifact,comparison_family,comparison_unit,comparison_count,state_count,polymarket_support_count,comparator_support_count,tie_count,polymarket_support_share,mean_polymarket_brier,mean_comparator_brier,mean_loss_advantage,secondary_metric_label,polymarket_secondary_value,comparator_secondary_value,supports_polymarket,contradicts_polymarket,proves_broad_user_claim,evidence_grade,allowed_statement,limitation
synthesis_aggregate_rows,All H1 comparator rows by aggregate mean Brier,h1_forecast_quality_synthesis.csv,cross_source_summary,evidence_rows,9,0,7,2,0,0.7777777777777778,0.2214428070175438,0.3147143947692421,,majority-support evidence rows,3.0,6.0,True,False,False,aggregate_support_but_not_broad_proof,"Most current H1 evidence rows support Polymarket by mean Brier, but the broad claim remains unproven.",Only 0 of 9 evidence rows support the broad many-cases criterion.
full_state_date_poll_panel,Full state-date poll panel,h1_state_poll_panel_horizon_claim_audit.csv,poll_transform_state_date_panel,state_date_rows,1720,15,360,1360,0,0.20930232558139536,0.1594798197674418,0.1026002677570564,-0.0568795520103853,polymarket lower-loss share,0.2093023255813953,0.7906976744186047,False,True,False,contradicts_strong_polymarket_claim,The largest poll-derived panel contradicts a broad Polymarket advantage claim.,Rows repeat resolved state outcomes and do not prove a broad independent many-cases claim.
late_90_day_state_date_rows,<=90-day state-date poll panel,h1_state_poll_panel_horizon_claim_audit.csv,poll_transform_state_date_panel,state_date_rows,357,13,262,95,0,0.7338935574229691,0.179920350140056,0.2520477705719791,0.072127420431923,polymarket lower-loss share,0.7338935574229691,0.26610644257703087,True,False,False,supports_polymarket_late_window,"In the final 90 days, Polymarket has lower loss in most state-date rows and lower mean Brier.","A predeclared horizon diagnostic, but still repeated rows from one election context."
late_90_day_state_level,<=90-day state-level support,h1_state_poll_panel_horizon_state_support_summary.csv,poll_transform_late_window,states,13,13,8,5,0,0.6153846153846154,0.179920350140056,0.2520477705719791,0.072127420431923,state row-majority support count,8.0,5.0,True,False,False,supports_polymarket_late_window_state_level,The <=90-day diagnostic supports Polymarket in 8 of 13 states.,All states still belong to one presidential election context.
late_90_day_mean_brier,<=90-day score quality: mean Brier,h1_state_poll_panel_near_window_quality_summary.csv,poll_transform_late_window_score_quality,forecast_source_metric,1,13,1,0,0,1.0,,,,mean_brier_loss,0.179920350140056,0.252047770571979,True,False,False,supports_polymarket_late_window_score_quality,Polymarket has lower mean Brier in the <=90-day window.,Calibration bins are repeated state-date forecasts inside one election context.
late_90_day_fixed_bin_ece,<=90-day score quality: fixed-bin ECE,h1_state_poll_panel_near_window_quality_summary.csv,poll_transform_late_window_score_quality,forecast_source_metric,1,13,1,0,0,1.0,,,,expected_calibration_error,0.3797450980392157,0.439123917401707,True,False,False,supports_polymarket_late_window_score_quality,Polymarket has lower fixed-bin ECE in the <=90-day window.,Calibration bins are repeated state-date forecasts inside one election context.
late_90_day_probability_separation,<=90-day score quality: probability separation,h1_state_poll_panel_near_window_quality_summary.csv,poll_transform_late_window_score_quality,forecast_source_metric,1,13,1,0,0,1.0,,,,probability_separation,0.4559865644101026,0.4365891737593091,True,False,False,supports_polymarket_late_window_score_quality,Polymarket has slightly higher probability separation in the <=90-day window.,Calibration bins are repeated state-date forecasts inside one election context.
final_538_snapshot_outcomes,Final 538 snapshot outcomes,h1_final_snapshot_summary.csv,traditional_probability_snapshot,resolved_outcomes,8,0,5,3,0,0.625,0.07837715625,0.09327890625,0.014901750000000005,case lower-loss counts,5.0,3.0,True,False,False,small_outcome_set_support,Polymarket is lower-loss in 5 of 8 final 538 outcomes.,Small same-election final-snapshot extension.
state_poll_snapshot_outcomes,State poll snapshot outcomes,h1_state_poll_snapshot_summary.csv,poll_transform_snapshot,resolved_state_outcomes,13,13,8,5,0,0.6153846153846154,0.1335513269230769,0.176359068751321,0.04280774182824412,case lower-loss counts,8.0,5.0,True,False,False,small_state_snapshot_support,Polymarket is lower-loss in 8 of 13 transformed state-poll snapshot cases.,"Transformed polling-average margin, not raw poll shares or an official 538 state win forecast."
popular_vote_daily_rows,Popular-vote daily poll transform,h1_popular_vote_summary.csv,poll_transform_popular_vote,daily_forecast_rows,51,0,21,30,0,0.4117647058823529,0.5178593137254902,0.4824403552433767,-0.035418958482113516,case lower-loss counts,21.0,30.0,False,True,False,popular_vote_counterexample,"For the 2024 popular-vote outcome, the transformed 538 poll margin has lower mean Brier and more lower-loss daily rows.",Repeated daily rows for one resolved popular-vote outcome; poll-margin transform is model-dependent.
two_seventy_poll_average_state_outcomes,270toWin state polling-average transform,h1_270towin_poll_average_summary.csv,poll_transform_state_snapshot,resolved_state_outcomes,43,43,14,29,0,0.32558139534883723,0.0304413197674418,0.0415955678144349,0.011154248046993102,case lower-loss counts,14.0,29.0,True,False,False,aggregate_support_case_majority_negative,"Polymarket has lower aggregate mean Brier, but the transformed 270toWin polling average wins most state-level cases.","Transformed 270toWin polling-average margin, not raw poll shares or an official win forecast; poll-derived wins 29 of 43 state cases."
rieke_50_state_mean_brier,Rieke 50-state model: mean Brier,h1_rieke_state_forecast_summary.csv,poll_model_state_forecast,resolved_state_outcomes,50,50,12,38,0,0.24,0.026207745,0.0295807871999999,0.0033730421999998983,case lower-loss counts,12.0,38.0,True,False,False,aggregate_support_case_majority_negative,"Polymarket has lower aggregate mean Brier, but Rieke wins most state-level cases.",Rieke is a model forecast and wins 38 of 50 state cases.
two_seventy_50_state_mean_brier,270toWin/JHK 50-state model: mean Brier,h1_270towin_state_forecast_summary.csv,poll_model_state_forecast,resolved_state_outcomes,50,50,9,40,1,0.18,0.026207745,0.0305989199999999,0.0043911749999999,case lower-loss counts,9.0,40.0,True,False,False,aggregate_support_case_majority_negative,"Polymarket has lower aggregate mean Brier, but 270toWin/JHK wins most state-level cases.",Includes censored safe-state boundary probabilities and 40 of 50 lower-loss cases for 270toWin/JHK.
all_source_state_consensus,All-source state consensus,h1_state_source_consensus_summary.csv,cross_source_state_consensus,states,50,50,9,37,4,0.18,0.0363199903846153,0.0454504017294094,0.009130411344794,source-state lower-loss rows,43.0,112.0,False,True,False,cross_source_state_consensus_counterexample,"Across four state-level source comparisons, the state-level majority consensus favours comparators in most states.",This reuses existing state artifacts; source outputs are not independent elections and may share polling information.
direct_poll_two_source_state_consensus,Two direct poll-transform source consensus,h1_state_source_consensus_summary.csv,direct_poll_transform_state_consensus,states,13,13,8,4,1,0.6153846153846154,0.0155606249999999,0.0039923831244795,,source-state lower-loss rows,22.0,34.0,True,False,False,direct_poll_consensus_support_bounded,"Among states covered by both direct poll-transform sources, Polymarket has the state-level consensus in 8 of 13 states.",The two direct poll-transform sources cover one election and both require documented margin-to-probability assumptions.
low_distance_competitive_cases,Lowest-distance competitive state-source cases,h1_competitive_state_diagnostic_summary.csv,competitive_state_source_diagnostic,source_state_cases,52,0,35,17,0,0.6730769230769231,,,0.0283743999821007,quantile-derived competitiveness subset,35.0,17.0,True,False,False,competitive_subset_support_bounded,"In the lowest comparator-distance tercile, Polymarket has lower loss in most source-state cases.","Competitiveness tiers are diagnostic quantiles from one election context, not independent elections."
