source_id,source_label,source_family,source_artifact,case_id,state,outcome_value,polymarket_probability,comparator_probability,competitiveness_distance,competitiveness_rank_pct,all_source_competitiveness_tier,family_competitiveness_tier,polymarket_brier,comparator_brier,loss_advantage,lower_loss_source,allowed_interpretation,limitation
five_thirty_eight_poll_snapshot,538 poll snapshot,direct_poll_transform,h1_state_poll_snapshot_cases.csv,us_2024_president_california_republican,California,0.0,0.0185,2.654882269581549e-07,0.49999973451177304,0.8397435897435898,high_distance_tercile,high_distance_tercile,0.0003422499999999,7.048399865338475e-14,-0.0003422499999294,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_california_rieke_republican,California,0.0,0.0135,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.0001822499999999,0.0,-0.0001822499999999,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_delaware_rieke_republican,Delaware,0.0,0.0155,0.0006,0.4994,0.7692307692307693,high_distance_tercile,high_distance_tercile,0.0002402499999999,3.60000000000054e-07,-0.0002398899999998,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_hawaii_rieke_republican,Hawaii,0.0,0.018,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.0003239999999999,0.0,-0.0003239999999999,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_indiana_rieke_republican,Indiana,1.0,0.982,1.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.000324,0.0,-0.000324,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_maryland_rieke_republican,Maryland,0.0,0.0105,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.00011025,0.0,-0.00011025,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_massachusetts_rieke_republican,Massachusetts,0.0,0.0075,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,5.625e-05,0.0,-5.625e-05,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_montana_rieke_republican,Montana,1.0,0.988,1.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.000144,0.0,-0.000144,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_nebraska_rieke_republican,Nebraska,1.0,0.9865,0.9999,0.4999,0.8076923076923077,high_distance_tercile,high_distance_tercile,0.0001822499999999,9.999999999997797e-09,-0.0001822399999999,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_new_york_rieke_republican,New York,0.0,0.0175,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.00030625,0.0,-0.00030625,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_north_dakota_rieke_republican,North Dakota,1.0,0.991,1.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,8.100000000000014e-05,0.0,-8.100000000000014e-05,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_rhode_island_rieke_republican,Rhode Island,0.0,0.012,0.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.000144,0.0,-0.000144,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
rieke_poll_model,Rieke poll model,poll_model_forecast,h1_rieke_state_forecast_cases.csv,us_2024_president_south_dakota_rieke_republican,South Dakota,1.0,0.986,1.0,0.5,0.9519230769230769,high_distance_tercile,high_distance_tercile,0.000196,0.0,-0.000196,comparator,Competitiveness-tier diagnostic for existing H1 state-source cases; lower comparator distance to 0.5 means a more competitive source case.,Competitiveness tiers are quantile-derived within one 2024 election context and are not independent elections.
