source_id,source_label,state,case_id,outcome_value,polymarket_probability,comparator_probability,polymarket_brier,comparator_brier,loss_advantage,absolute_loss_advantage,lower_loss_source,allowed_interpretation,limitation
five_thirty_eight_poll_snapshot,538 poll snapshot,Arizona,us_2024_president_arizona_republican,1.0,0.605,0.5494078951568299,0.156025,0.2030332449469984,0.0470082449469984,0.0470082449469984,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,California,us_2024_president_california_republican,0.0,0.0185,2.654882269581549e-07,0.0003422499999999,7.048399865338475e-14,-0.0003422499999294,0.0003422499999294,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Florida,us_2024_president_florida_republican,1.0,0.83,0.8049532058894451,0.0289,0.0380432518928052,0.0091432518928052,0.0091432518928052,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Georgia,us_2024_president_georgia_republican,1.0,0.585,0.543496785533558,0.172225,0.2083951848181943,0.0361701848181943,0.0361701848181943,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Michigan,us_2024_president_michigan_republican,1.0,0.42,0.360345188871178,0.3364000000000001,0.4091582774002488,0.0727582774002487,0.0727582774002487,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Minnesota,us_2024_president_minnesota_republican,0.0,0.075,0.0669852541231745,0.005625,0.0044870242699462,-0.0011379757300537,0.0011379757300537,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Nevada,us_2024_president_nevada_republican,1.0,0.505,0.4748785207945448,0.245025,0.2757525679229254,0.0307275679229254,0.0307275679229254,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,New Hampshire,us_2024_president_new_hampshire_republican,0.0,0.145,0.0818191993541129,0.021025,0.006694381382948,-0.014330618617052,0.014330618617052,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,North Carolina,us_2024_president_north_carolina_republican,1.0,0.595,0.4751794865963569,0.164025,0.2754365712892634,0.1114115712892634,0.1114115712892634,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Ohio,us_2024_president_ohio_republican,1.0,0.91,0.9683700072791614,0.0080999999999999,0.0010004564395202,-0.0070995435604797,0.0070995435604797,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Pennsylvania,us_2024_president_pennsylvania_republican,1.0,0.515,0.4285034980099084,0.235225,0.3266082517869108,0.0913832517869107,0.0913832517869107,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Texas,us_2024_president_texas_republican,1.0,0.855,0.8955573882673938,0.021025,0.0109082591455279,-0.010116740854472,0.010116740854472,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
five_thirty_eight_poll_snapshot,538 poll snapshot,Wisconsin,us_2024_president_wisconsin_republican,1.0,0.415,0.2698284979049,0.3422249999999999,0.5331504224718145,0.1909254224718146,0.1909254224718146,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Alaska,us_2024_president_alaska_270towin_poll_average_republican,1.0,0.955,0.9534976948102668,0.002025,0.002162464387959,0.0001374643879589,0.0001374643879589,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Arizona,us_2024_president_arizona_270towin_poll_average_republican,1.0,0.795,0.6354976759016899,0.0420249999999999,0.1328619442730694,0.0908369442730695,0.0908369442730695,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Arkansas,us_2024_president_arkansas_270towin_poll_average_republican,1.0,0.9955,0.9991823734823564,2.0249999999999537e-05,6.685131223541987e-07,-1.958148687764534e-05,1.958148687764534e-05,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,California,us_2024_president_california_270towin_poll_average_republican,0.0,0.0135,9.58316502819301e-08,0.0001822499999999,9.18370519575815e-15,-0.0001822499999907,0.0001822499999907,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Colorado,us_2024_president_colorado_270towin_poll_average_republican,0.0,0.036,0.0178777864861212,0.0012959999999999,0.0003196152496433,-0.0009763847503566,0.0009763847503566,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Connecticut,us_2024_president_connecticut_270towin_poll_average_republican,0.0,0.016,0.0003903985597566,0.000256,1.5241103546010525e-07,-0.0002558475889645,0.0002558475889645,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Delaware,us_2024_president_delaware_270towin_poll_average_republican,0.0,0.0155,5.128343195581753e-05,0.0002402499999999,2.6299903931669662e-09,-0.0002402473700095,0.0002402473700095,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Florida,us_2024_president_florida_270towin_poll_average_republican,1.0,0.955,0.9052922426906092,0.002025,0.0089695592945744,0.0069445592945744,0.0069445592945744,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Georgia,us_2024_president_georgia_270towin_poll_average_republican,1.0,0.68,0.599465379322515,0.1023999999999999,0.1604279823612568,0.0580279823612569,0.0580279823612569,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Indiana,us_2024_president_indiana_270towin_poll_average_republican,1.0,0.982,0.9997343896965972,0.000324,7.054883327377294e-08,-0.0003239294511667,0.0003239294511667,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Iowa,us_2024_president_iowa_270towin_poll_average_republican,1.0,0.845,0.8407040571574934,0.024025,0.0253751974060831,0.001350197406083,0.001350197406083,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Kansas,us_2024_president_kansas_270towin_poll_average_republican,1.0,0.978,0.8531060231951952,0.000484,0.0215778404215305,0.0210938404215305,0.0210938404215305,polymarket,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Maine,us_2024_president_maine_270towin_poll_average_republican,0.0,0.09,0.0345063265711574,0.0081,0.0011906865734353,-0.0069093134265647,0.0069093134265647,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
two_seventy_poll_average,270toWin poll average,Maryland,us_2024_president_maryland_270towin_poll_average_republican,0.0,0.0105,5.6099827561162385e-09,0.00011025,3.147190652392155e-17,-0.0001102499999999,0.0001102499999999,comparator,Direct poll-transform loss-decomposition diagnostic for H1 forecast quality.,Rows reuse 2024 US presidential state outcomes and direct poll transform artifacts; they are not independent elections.
