state,source_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,total_loss_advantage,state_mean_winner,case_majority_winner,source_labels,allowed_interpretation,limitation
Alaska,1,1,0,0,0.002025,0.002162464387959,0.0001374643879589999,0.0001374643879589,polymarket,polymarket,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Arizona,2,2,0,0,0.09902499999999995,0.1679475946100339,0.06892259461003394,0.1378451892200679,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Arkansas,1,0,1,0,2.0249999999999537e-05,6.685131223541987e-07,-1.958148687764534e-05,-1.958148687764534e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
California,2,0,2,0,0.0002622499999999,3.983385192457145e-14,-0.00026224999996006613,-0.0005244999999201,poll_derived,poll_derived,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Colorado,1,0,1,0,0.0012959999999999,0.0003196152496433,-0.0009763847503566,-0.0009763847503566,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Connecticut,1,0,1,0,0.000256,1.5241103546010525e-07,-0.00025584758896453986,-0.0002558475889645,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Delaware,1,0,1,0,0.0002402499999999,2.6299903931669662e-09,-0.00024024737000950683,-0.0002402473700095,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Florida,2,2,0,0,0.015462499999999999,0.0235064055936898,0.008043905593689801,0.0160878111873796,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Georgia,2,2,0,0,0.13731249999999995,0.18441158358972554,0.04709908358972559,0.0941981671794512,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Indiana,1,0,1,0,0.000324,7.054883327377294e-08,-0.00032392945116672625,-0.0003239294511667,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Iowa,1,1,0,0,0.024025,0.0253751974060831,0.0013501974060830986,0.001350197406083,polymarket,polymarket,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Kansas,1,1,0,0,0.000484,0.0215778404215305,0.0210938404215305,0.0210938404215305,polymarket,polymarket,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Maine,1,0,1,0,0.0081,0.0011906865734353,-0.0069093134265647,-0.0069093134265647,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Maryland,1,0,1,0,0.00011025,3.147190652392155e-17,-0.00011024999999996853,-0.0001102499999999,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Massachusetts,1,0,1,0,5.625e-05,7.994380564803984e-18,-5.6249999999992e-05,-5.6249999999992e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Michigan,2,2,0,0,0.35121250000000004,0.4135500269212835,0.06233752692128347,0.12467505384256691,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Minnesota,2,0,2,0,0.00832499999999995,0.00689870980009635,-0.0014262901999036008,-0.0028525803998071,poll_derived,poll_derived,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Missouri,1,0,1,0,0.000361,6.685131223541987e-07,-0.0003603314868776458,-0.0003603314868776,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Montana,1,0,1,0,0.000144,6.175849040768501e-09,-0.00014399382415095923,-0.0001439938241509,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Nebraska,1,0,1,0,0.0001822499999999,6.685131223541987e-07,-0.0001815814868775458,-0.0001815814868775,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Nevada,2,2,0,0,0.192825,0.2386957552996643,0.045870755299664306,0.0917415105993286,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
New Hampshire,2,0,2,0,0.02582499999999995,0.014136110902239249,-0.0116888890977607,-0.0233777781955214,poll_derived,poll_derived,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
New Jersey,1,0,1,0,0.00105625,9.04729138851307e-08,-0.0010561595270861149,-0.0010561595270861,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
New Mexico,1,1,0,0,0.009025,0.0107884703495066,0.0017634703495066004,0.0017634703495066,polymarket,polymarket,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
New York,1,0,1,0,0.00030625,1.0904609969631376e-08,-0.0003062390953900304,-0.00030623909539,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
North Carolina,2,2,0,0,0.128525,0.2163175231568159,0.0877925231568159,0.1755850463136318,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
North Dakota,1,0,1,0,8.100000000000014e-05,5.1468252145010955e-17,-8.099999999994867e-05,-8.099999999994867e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Ohio,2,0,2,0,0.0068624999999999,0.00193928070008715,-0.00492321929991275,-0.0098464385998255,poll_derived,poll_derived,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Oklahoma,1,0,1,0,8.100000000000014e-05,1.524110354600619e-07,-8.084758896454008e-05,-8.084758896454008e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Oregon,1,0,1,0,0.000256,3.4501779090295736e-05,-0.00022149822090970425,-0.0002214982209097,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Pennsylvania,2,2,0,0,0.199625,0.28998503461808656,0.09036003461808656,0.1807200692361729,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Rhode Island,1,0,1,0,0.000144,2.700484814379284e-06,-0.00014129951518562073,-0.0001412995151856,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
South Carolina,1,0,1,0,0.000841,5.092192830246838e-05,-0.0007900780716975315,-0.0007900780716975,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
South Dakota,1,0,1,0,0.000196,1.7340329757043654e-16,-0.0001959999999998266,-0.0001959999999998,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Tennessee,1,0,1,0,0.0002722499999999,2.687156280375196e-11,-0.0002722499731283372,-0.0002722499731283,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Texas,2,1,1,0,0.011762499999999999,0.0072612781187338,-0.004501221881266199,-0.0090024437625323,poll_derived,tie,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Utah,1,0,1,0,0.000289,1.8457216686542475e-15,-0.00028899999999815423,-0.0002889999999981,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Vermont,1,0,1,0,7.225000000000001e-05,8.36689259671084e-23,-7.225000000000001e-05,-7.225000000000001e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Virginia,1,1,0,0,0.0121,0.0124647106051047,0.0003647106051046997,0.0003647106051046,polymarket,polymarket,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Washington,1,0,1,0,0.000144,7.026847844625452e-10,-0.00014399929731521554,-0.0001439992973152,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
West Virginia,1,0,1,0,0.0001,5.1468252145010955e-17,-9.999999999994853e-05,-9.999999999994852e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Wisconsin,2,2,0,0,0.31422499999999987,0.4390045510791094,0.12477955107910954,0.24955910215821892,polymarket,polymarket,538 poll snapshot;270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
Wyoming,1,0,1,0,5.624999999999927e-05,1.1093356479670479e-31,-5.624999999999927e-05,-5.624999999999927e-05,poll_derived,poll_derived,270toWin poll average,State-cluster diagnostic for direct H1 poll-transform comparisons.,States are coarser diagnostic units but still share one 2024 presidential election context.
