scope_id,horizon_cutoff_days,horizon_scope,horizon_label,tier_scope,tier_label,included_tiers,row_count,state_count,state_month_unit_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_lower_loss_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,state_month_polymarket_support_count,state_month_poll_support_count,state_month_tie_count,state_month_polymarket_support_share,state_month_exact_p_value,state_month_exact_95_ci_low,row_majority_supports_polymarket,mean_supports_polymarket,state_month_supports_polymarket,frontier_status,allowed_statement,limitation
lte_60_days_all_distances,60,lte_60_days,<=60 days,all_distances,All distances,"low_distance_tercile,middle_distance_tercile,high_distance_tercile",88,13,13,59,29,0,0.6704545454545454,0.12782341761363633,0.18323581083815055,0.055412393224514196,9,4,0,0.6923076923076923,0.1334228515625,0.42738066059172464,True,True,True,directional_support,"Directional support in <=60 days, All distances: Polymarket lower loss in 59 of 88 rows, but state-month evidence is not significant at 0.05.","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_60_days_high_distance,60,lte_60_days,<=60 days,high_distance,High distance,high_distance_tercile,29,5,5,0,29,0,0.0,0.01148657758620688,0.004124987930157467,-0.007361589656049352,0,5,0,0.0,1.0,0.0,False,False,False,contradicted_or_unsupported,"No robust Polymarket support in <=60 days, High distance: Polymarket lower loss in 0 rows and poll-derived lower loss in 29 rows.","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_60_days_low_distance,60,lte_60_days,<=60 days,low_distance,Low distance,low_distance_tercile,42,6,6,42,0,0,1.0,0.20073392857142855,0.2854355086790343,0.08470158010760566,6,0,0,1.0,0.015625,0.6069622310029174,True,True,True,robust_support,"Robust bounded support in <=60 days, Low distance: Polymarket lower loss in 42 of 42 rows and 6 of 6 state-month units (p=0.0156).","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_60_days_low_middle_distance,60,lte_60_days,<=60 days,low_middle_distance,Low/middle distance,"low_distance_tercile,middle_distance_tercile",59,9,9,59,0,0,1.0,0.18500593220338976,0.2712733339624184,0.08626740175902849,9,0,0,1.0,0.001953125,0.7168711644368863,True,True,True,robust_support,"Robust bounded support in <=60 days, Low/middle distance: Polymarket lower loss in 59 of 59 rows and 9 of 9 state-month units (p=0.00195).","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_60_days_middle_distance,60,lte_60_days,<=60 days,middle_distance,Middle distance,middle_distance_tercile,17,3,3,17,0,0,1.0,0.14614852941176468,0.23628443172136723,0.09013590230960251,3,0,0,1.0,0.125,0.3684031498640387,True,True,False,directional_support,"Directional support in <=60 days, Middle distance: Polymarket lower loss in 17 of 17 rows, but state-month evidence is not significant at 0.05.","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_90_days_all_distances,90,lte_90_days,<=90 days,all_distances,All distances,"low_distance_tercile,middle_distance_tercile,high_distance_tercile",357,13,24,262,95,0,0.7338935574229691,0.179920350140056,0.2520477705719791,0.07212742043192308,16,8,0,0.6666666666666666,0.07579481601715088,0.478577105192989,True,True,True,directional_support,"Directional support in <=90 days, All distances: Polymarket lower loss in 262 of 357 rows, but state-month evidence is not significant at 0.05.","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_90_days_high_distance,90,lte_90_days,<=90 days,high_distance,High distance,high_distance_tercile,72,5,8,0,72,0,0.0,0.015560624999999988,0.0039923831244795,-0.01156824187552041,0,8,0,0.0,1.0,0.0,False,False,False,contradicted_or_unsupported,"No robust Polymarket support in <=90 days, High distance: Polymarket lower loss in 0 rows and poll-derived lower loss in 72 rows.","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_90_days_low_distance,90,lte_90_days,<=90 days,low_distance,Low distance,low_distance_tercile,198,7,13,185,13,0,0.9343434343434344,0.2190507575757576,0.29771327772896805,0.07866252015321047,13,0,0,1.0,0.0001220703125,0.7941833348133953,True,True,True,robust_support,"Robust bounded support in <=90 days, Low distance: Polymarket lower loss in 185 of 198 rows and 13 of 13 state-month units (p=0.000122).","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_90_days_low_middle_distance,90,lte_90_days,<=90 days,low_middle_distance,Low/middle distance,"low_distance_tercile,middle_distance_tercile",285,9,17,262,23,0,0.9192982456140351,0.2214428070175438,0.3147143947692421,0.09327158775169828,17,0,0,1.0,7.62939453125e-06,0.83843388873926,True,True,True,robust_support,"Robust bounded support in <=90 days, Low/middle distance: Polymarket lower loss in 262 of 285 rows and 17 of 17 state-month units (p=7.63e-06).","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
lte_90_days_middle_distance,90,lte_90_days,<=90 days,middle_distance,Middle distance,middle_distance_tercile,87,4,6,77,10,0,0.8850574712643678,0.22688678160919534,0.3534065921712452,0.1265198105620498,6,0,0,1.0,0.015625,0.6069622310029174,True,True,True,robust_support,"Robust bounded support in <=90 days, Middle distance: Polymarket lower loss in 77 of 87 rows and 6 of 6 state-month units (p=0.0156).","Rows are repeated state-date forecasts from one election context; frontier rows test scope sensitivity, not independent many-election proof."
