case_id,state,forecast_timestamp_utc,rieke_run_date,polymarket_observed_at_utc,polymarket_time_distance_seconds,polymarket_market_slug,polymarket_market_id,polymarket_condition_id,target_outcome,target_token_id,outcome_value,rieke_harris_win_probability,rieke_republican_win_probability,polymarket_probability,polymarket_brier,rieke_brier,loss_advantage,lower_loss_source,rieke_win_state_source_url,rieke_model_log_source_url,polymarket_source_url,price_history_source_url,allowed_interpretation,limitation
us_2024_president_alabama_rieke_republican,Alabama,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-alabama-in-the-2024-us-presidential-election,255036,0x73e79bf159ec7f40a56830f4f0e27a608a15325e427ae43a06772c1549948885,Republican wins state,62653825878169746057080808230062309407934053249437183199235461061822034801024,1.0,0.0031,0.9969,0.9875,0.0001562499999999989,9.609999999999949e-06,-0.00014663999999999893,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-alabama-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_alaska_rieke_republican,Alaska,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-alaska-in-the-2024-us-presidential-election,255045,0xcec7958225b06aa2464a72d934ddcc9b66bb6f35ad065010496d8db92de412a0,Republican wins state,76626557395718138549682497346449622033790455953645207983251701172676708683039,1.0,0.0250999999999999,0.9749000000000001,0.955,0.002025000000000004,0.000630009999999995,-0.0013949900000000087,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-alaska-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_arizona_rieke_republican,Arizona,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-arizona-presidential-election,255051,0x4d848bab2da79b9ff7f2b2b0d9ddb048bb1fb47e9f782887f16e91d27de41279,Republican wins state,64972410044896218211047269420581789917870192018252181026286744947120013986348,1.0,0.3003,0.6997,0.795,0.042024999999999986,0.09018009,0.04815509000000002,polymarket,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-arizona-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_arkansas_rieke_republican,Arkansas,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-arkansas-in-the-2024-us-presidential-election,255056,0xfd88c007f9dc1336d16c7109aad896e2aa619656fa38ead87b3e569eed4ceba1,Republican wins state,104091544416403282449055832231256209492811594546272123381676430271281377009495,1.0,0.0018999999999999,0.9981000000000001,0.9955,2.0249999999999537e-05,3.6099999999996266e-06,-1.663999999999991e-05,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-arkansas-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_california_rieke_republican,California,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-california-in-the-2024-us-presidential-election,255061,0x6964df311eba3add433112c9ab13ef529c8e2e07e7c115b9cc548de035f5b25f,Republican wins state,99830846713807084277950392215452568080477500108350730334986898631459175275385,0.0,1.0,0.0,0.0135,0.00018224999999999998,0.0,-0.00018224999999999998,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-california-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_colorado_rieke_republican,Colorado,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-colorado-in-the-2024-us-presidential-election,255066,0x436b731d219f6da8caf7147d02d2a18e31ca770154225aef63c52f632e36e564,Republican wins state,106556635471772911586614313989151393945990110659335310095262547110240967181207,0.0,0.9906999999999998,0.009300000000000197,0.036,0.0012959999999999998,8.649000000000367e-05,-0.0012095099999999961,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-colorado-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_connecticut_rieke_republican,Connecticut,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-connecticut-in-the-2024-us-presidential-election,255071,0x0fb3071db6a07c5e7ec2e94db77ac94d580788aec6f223f618662cb7f3e95cde,Republican wins state,38390716162236669376777578672738922254175457432609528432958168185061562868880,0.0,0.9984,0.0016000000000000458,0.016,0.000256,2.5600000000001466e-06,-0.00025343999999999985,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-connecticut-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_delaware_rieke_republican,Delaware,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-delaware-presidential-election,500506,0x05a16ffcfaa6948233c1cc448f87acddf1ea144597b424739dd4a2e07f397b04,Republican wins state,87043082768935693715129767462273934029587358151911416123872278358961719248124,0.0,0.9994,0.0006000000000000449,0.0155,0.00024024999999999999,3.6000000000005394e-07,-0.00023988999999999993,rieke_forecast,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-delaware-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_florida_rieke_republican,Florida,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-florida-in-the-2024-us-presidential-election,255083,0x5a06bb8f86198aac8ae8b9a2610f1bdcf8954123dc51d51a3e6c492f88821ba8,Republican wins state,98021166935117039411751630581502824091054448039251810280365647472625878604011,1.0,0.0758999999999997,0.9241000000000003,0.955,0.002025000000000004,0.005760809999999962,0.003735809999999958,polymarket,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-florida-in-the-2024-us-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
us_2024_president_georgia_rieke_republican,Georgia,2024-11-05T13:22:58Z,2024-11-05,2024-11-05T13:00:02Z,1376,will-a-republican-win-georgia-presidential-election,255087,0x7606802127355512c8f8ff9c70ef27a2717a8554374d84452de4c7d28147338d,Republican wins state,10874846387975190407444713373765853114527145924436779240006871443341352408992,1.0,0.3287999999999993,0.6712000000000007,0.68,0.10239999999999996,0.10810943999999954,0.00570943999999958,polymarket,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/polls/win_state.csv,https://raw.githubusercontent.com/markjrieke/2024-potus/main/out/model_log.csv,https://polymarket.com/market/will-a-republican-win-georgia-presidential-election,https://clob.polymarket.com/prices-history,Final-snapshot state-level Brier comparison between Polymarket Republican-win prices and the complement of Rieke Harris-win state probabilities.,"Rieke is an independent poll-based forecast model, not an official 538 forecast and not raw poll shares; state outcomes share one election context."
