scope_id,scope_label,source_id,source_label,state,forecast_date,forecast_month,case_id,days_to_election,competitiveness_tier,outcome_value,forecast_probability,brier_loss,row_unit,limitation
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-08,2024-07,us_2024_arizona_2024-07-08_rep_panel,120,middle_distance_tercile,1.0,0.8336434084041348,0.0276745155673935,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-09,2024-07,us_2024_arizona_2024-07-09_rep_panel,119,middle_distance_tercile,1.0,0.8263810901475495,0.0301435258583533,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-10,2024-07,us_2024_arizona_2024-07-10_rep_panel,118,middle_distance_tercile,1.0,0.8257988560025429,0.0303460385700227,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-11,2024-07,us_2024_arizona_2024-07-11_rep_panel,117,middle_distance_tercile,1.0,0.8214172931646535,0.0318917831806393,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-12,2024-07,us_2024_arizona_2024-07-12_rep_panel,116,middle_distance_tercile,1.0,0.8073297671400117,0.0371218186303221,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-13,2024-07,us_2024_arizona_2024-07-13_rep_panel,115,middle_distance_tercile,1.0,0.8058522708789122,0.0376933407228752,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-14,2024-07,us_2024_arizona_2024-07-14_rep_panel,114,middle_distance_tercile,1.0,0.8045911334313778,0.0381846251336336,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-15,2024-07,us_2024_arizona_2024-07-15_rep_panel,113,middle_distance_tercile,1.0,0.8187514609601619,0.0328510329040757,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-16,2024-07,us_2024_arizona_2024-07-16_rep_panel,112,middle_distance_tercile,1.0,0.8087059790582181,0.0365934024480749,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-17,2024-07,us_2024_arizona_2024-07-17_rep_panel,111,middle_distance_tercile,1.0,0.8093118829020631,0.0363619580023564,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-18,2024-07,us_2024_arizona_2024-07-18_rep_panel,110,middle_distance_tercile,1.0,0.8805520759512613,0.0142678065595532,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-19,2024-07,us_2024_arizona_2024-07-19_rep_panel,109,middle_distance_tercile,1.0,0.8758603622144341,0.0154106496695315,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-20,2024-07,us_2024_arizona_2024-07-20_rep_panel,108,middle_distance_tercile,1.0,0.880239886435211,0.0143424848010511,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-07-21,2024-07,us_2024_arizona_2024-07-21_rep_panel,107,middle_distance_tercile,1.0,0.8770500102187375,0.0151166999872125,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-01,2024-08,us_2024_arizona_2024-08-01_rep_panel,96,low_distance_tercile,1.0,0.6875748161143269,0.0976094955259966,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-02,2024-08,us_2024_arizona_2024-08-02_rep_panel,95,low_distance_tercile,1.0,0.6686280323096623,0.1098073809709662,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-03,2024-08,us_2024_arizona_2024-08-03_rep_panel,94,low_distance_tercile,1.0,0.675382678498589,0.1053764054187504,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-04,2024-08,us_2024_arizona_2024-08-04_rep_panel,93,low_distance_tercile,1.0,0.6648378288250874,0.1123336809866814,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-05,2024-08,us_2024_arizona_2024-08-05_rep_panel,92,low_distance_tercile,1.0,0.6473228841464651,0.1243811480467676,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-06,2024-08,us_2024_arizona_2024-08-06_rep_panel,91,low_distance_tercile,1.0,0.6042698242074812,0.1566023720327778,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-07,2024-08,us_2024_arizona_2024-08-07_rep_panel,90,low_distance_tercile,1.0,0.5957971976338791,0.1633799054406254,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-08,2024-08,us_2024_arizona_2024-08-08_rep_panel,89,low_distance_tercile,1.0,0.5373300151606445,0.2140635148712494,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-09,2024-08,us_2024_arizona_2024-08-09_rep_panel,88,low_distance_tercile,1.0,0.5364917752381724,0.2148398744218609,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-10,2024-08,us_2024_arizona_2024-08-10_rep_panel,87,low_distance_tercile,1.0,0.4911759968489342,0.2589018661826758,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
largest_robust_lte120_low_middle,<=120 days + low/middle poll distance,poll_derived,538 poll-derived,Arizona,2024-08-11,2024-08,us_2024_arizona_2024-08-11_rep_panel,86,low_distance_tercile,1.0,0.4989152347508992,0.2510859419647465,state_date_forecast_row_in_robust_poll_scope,Rows are repeated state-date forecasts inside one election context; scope is bounded to low/middle poll-distance rows.
