state,poll_pair_count,history_point_count,matched_case_count,unmatched_poll_pair_count,first_history_timestamp_utc,last_history_timestamp_utc,coverage_status
Arizona,186,189,180,6,2024-03-08T00:00:02Z,2024-09-12T00:00:02Z,matched
California,95,168,68,27,2024-03-29T00:00:02Z,2024-09-12T00:00:02Z,matched
Florida,126,147,126,0,2024-04-18T00:00:03Z,2024-09-12T00:00:02Z,matched
Georgia,188,189,182,6,2024-03-08T00:00:02Z,2024-09-12T00:00:02Z,matched
Michigan,192,188,185,7,2024-03-09T00:00:03Z,2024-09-12T00:00:02Z,matched
Minnesota,75,122,75,0,2024-05-14T00:00:03Z,2024-09-12T00:00:02Z,matched
Nevada,177,189,171,6,2024-03-08T00:00:02Z,2024-09-12T00:00:02Z,matched
New Hampshire,23,23,23,0,2024-08-21T00:00:02Z,2024-09-12T00:00:02Z,matched
New York,29,32,29,0,2024-06-20T00:00:04Z,2024-07-21T00:00:01Z,matched
North Carolina,175,188,168,7,2024-03-09T00:00:03Z,2024-09-12T00:00:02Z,matched
Ohio,45,166,33,12,2024-03-29T00:00:02Z,2024-09-12T00:00:02Z,matched
Pennsylvania,188,189,182,6,2024-03-08T00:00:02Z,2024-09-12T00:00:02Z,matched
Texas,126,177,108,18,2024-03-20T00:00:03Z,2024-09-12T00:00:02Z,matched
Virginia,11,11,11,0,2024-07-11T00:00:03Z,2024-07-21T00:00:01Z,matched
Wisconsin,186,188,179,7,2024-03-09T00:00:03Z,2024-09-12T00:00:02Z,matched
