state,horizon_bin,horizon_label,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage
Arizona,0_60_days,0-60 days,7,7,0,0,1.0,0.14347142857142856,0.20353178277861517,0.06006035420718661
Arizona,121_150_days,121-150 days,30,0,30,0,0.0,0.138115,0.03896251780452794,-0.09915248219547204
Arizona,151_180_days,151-180 days,30,0,30,0,0.0,0.19214583333333335,0.04246293184079873,-0.1496829014925346
Arizona,181_plus_days,181+ days,63,0,63,0,0.0,0.22366230158730155,0.031173434186943655,-0.1924888674003579
Arizona,61_90_days,61-90 days,30,29,1,0,0.9666666666666667,0.20877833333333334,0.29694795693614645,0.08816962360281311
Arizona,91_120_days,91-120 days,20,0,20,0,0.0,0.09801000000000001,0.055205508250851756,-0.04280449174914826
California,0_60_days,0-60 days,7,0,7,0,0.0,0.0004765357142857001,6.666151790334322e-14,-0.00047653571421903856
California,151_180_days,151-180 days,16,0,16,0,0.0,0.004225,1.0675292917832527e-10,-0.00422499989324707
California,181_plus_days,181+ days,42,0,42,0,0.0,0.0054761904761904765,3.5327733014938116e-10,-0.005476190122913146
California,61_90_days,61-90 days,3,0,3,0,0.0,0.0005680833333333333,1.7407636855398607e-14,-0.0005680833333159257
Florida,0_60_days,0-60 days,7,7,0,0,1.0,0.023442857142857147,0.03670677351780307,0.013263916374945922
Florida,121_150_days,121-150 days,30,0,30,0,0.0,0.005554166666666568,0.0011030057061741866,-0.004451160960492381
Florida,151_180_days,151-180 days,30,0,30,0,0.0,0.007060833333333235,0.00030187362903667873,-0.006758959704296556
Florida,181_plus_days,181+ days,21,0,21,0,0.0,0.016996428571428555,0.00029740468468629044,-0.016699023886742263
Florida,61_90_days,61-90 days,24,14,10,0,0.5833333333333334,0.02856770833333333,0.03337288098664105,0.004805172653307717
Florida,91_120_days,91-120 days,14,0,14,0,0.0,0.005624999999999899,0.0008538931576541287,-0.00477110684234577
Georgia,0_60_days,0-60 days,7,7,0,0,1.0,0.16347142857142857,0.23966882145762858,0.0761973928862
Georgia,121_150_days,121-150 days,30,0,30,0,0.0,0.09279166666666655,0.016938223125529558,-0.07585344354113699
Georgia,151_180_days,151-180 days,30,0,30,0,0.0,0.1409799999999999,0.013840189970783083,-0.12713981002921682
Georgia,181_plus_days,181+ days,63,0,63,0,0.0,0.17882738095238085,0.012475948589595063,-0.1663514323627858
Georgia,61_90_days,61-90 days,30,25,5,0,0.8333333333333334,0.18051666666666666,0.23081782494614153,0.05030115827947487
Georgia,91_120_days,91-120 days,22,7,15,0,0.3181818181818182,0.09460909090909088,0.07430748079935112,-0.020301610109739757
Michigan,0_60_days,0-60 days,7,7,0,0,1.0,0.3105714285714285,0.4298433309301349,0.11927190235870638
Michigan,121_150_days,121-150 days,30,1,29,0,0.03333333333333333,0.2799658333333333,0.206930174412249,-0.0730356589210843
Michigan,151_180_days,151-180 days,30,0,30,0,0.0,0.3040583333333334,0.19188614348395647,-0.11217218984937691
Michigan,181_plus_days,181+ days,62,0,62,0,0.0,0.2912883064516128,0.07766030787014094,-0.21362799858147186
Michigan,61_90_days,61-90 days,30,30,0,0,1.0,0.38723333333333343,0.5165466750628251,0.12931334172949172
Michigan,91_120_days,91-120 days,26,14,12,0,0.5384615384615384,0.23660961538461533,0.25472817882952425,0.01811856344490892
Minnesota,0_60_days,0-60 days,7,0,7,0,0.0,0.006310714285714286,0.004115071891761571,-0.0021956423939527145
Minnesota,121_150_days,121-150 days,24,24,0,0,1.0,0.05814791666666665,0.12288693242311065,0.064739015756444
Minnesota,151_180_days,151-180 days,12,12,0,0,1.0,0.0306249999999999,0.08464267476441976,0.05401767476441986
Minnesota,61_90_days,61-90 days,18,0,18,0,0.0,0.004877777777777777,0.0016387188641309224,-0.0032390589136468547
Minnesota,91_120_days,91-120 days,14,11,3,0,0.7857142857142857,0.12946607142857142,0.18678735510325475,0.05732128367468334
Nevada,0_60_days,0-60 days,7,7,0,0,1.0,0.22036071428571422,0.282871624650094,0.06251091036437981
Nevada,121_150_days,121-150 days,30,0,30,0,0.0,0.11128499999999998,0.03869754370608427,-0.07258745629391572
Nevada,151_180_days,151-180 days,30,0,30,0,0.0,0.17915666666666666,0.011607277051536446,-0.16754938961513022
Nevada,181_plus_days,181+ days,63,0,63,0,0.0,0.2927753968253968,0.015581575605344173,-0.27719382122005265
Nevada,61_90_days,61-90 days,27,20,7,0,0.7407407407407407,0.24546203703703698,0.2901639140513382,0.0447018770143012
Nevada,91_120_days,91-120 days,14,0,14,0,0.0,0.07248928571428569,0.022302444684082396,-0.050186841030203294
New Hampshire,0_60_days,0-60 days,7,0,7,0,0.0,0.02633928571428571,0.006659622384067372,-0.01967966333021834
New Hampshire,61_90_days,61-90 days,16,0,16,0,0.0,0.03662968749999998,0.004722401541832319,-0.031907285958167664
New York,121_150_days,121-150 days,18,0,18,0,0.0,0.006069444444444443,0.0005899302320702397,-0.005479514212374204
New York,91_120_days,91-120 days,11,0,11,0,0.0,0.006286363636363638,0.0007897079130274273,-0.00549665572333621
North Carolina,0_60_days,0-60 days,7,7,0,0,1.0,0.1567392857142857,0.2395649019607177,0.082825616246432
North Carolina,121_150_days,121-150 days,30,0,30,0,0.0,0.04464916666666659,0.00813084165226201,-0.03651832501440458
