state,row_count,first_forecast_date,last_forecast_date,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,aggregate_mean_supports_polymarket,majority_rows_support_polymarket,support_label,row_unit,limitation
New Hampshire,23,2024-08-21,2024-09-12,0,23,0,0.0,0.03349782608695652,0.0053119904938169,-0.02818583559313962,False,False,poll_derived_or_no_polymarket_support,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Ohio,4,2024-09-09,2024-09-12,0,4,0,0.0,0.0070312499999999,0.00095339631937115,-0.006077853680628751,False,False,poll_derived_or_no_polymarket_support,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Texas,13,2024-08-31,2024-09-12,3,10,0,0.23076923076923078,0.018140384615384607,0.014859262162827524,-0.003281122452557083,False,False,poll_derived_or_no_polymarket_support,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Minnesota,25,2024-08-19,2024-09-12,0,25,0,0.0,0.005278999999999999,0.002332097711867504,-0.002946902288132495,False,False,poll_derived_or_no_polymarket_support,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
California,10,2024-09-03,2024-09-12,0,10,0,0.0,0.0005039999999999899,5.1885353588959826e-14,-0.0005039999999481046,False,False,poll_derived_or_no_polymarket_support,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Florida,31,2024-08-13,2024-09-12,21,10,0,0.6774193548387096,0.027410483870967735,0.0341256954291615,0.006715211558193768,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Nevada,34,2024-08-10,2024-09-12,27,7,0,0.7941176470588235,0.2402941176470587,0.28866256035108195,0.04836844270402324,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Georgia,37,2024-08-07,2024-09-12,32,5,0,0.8648648648648649,0.17729189189189185,0.23249233779966616,0.055200445907774315,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
North Carolina,32,2024-08-12,2024-09-12,32,0,0,1.0,0.15630468749999998,0.22753189855096131,0.07122721105096133,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Arizona,37,2024-08-07,2024-09-12,36,1,0,0.972972972972973,0.1964229729729729,0.27927462669012704,0.08285165371715414,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Pennsylvania,37,2024-08-07,2024-09-12,37,0,0,1.0,0.25738648648648643,0.3692757633175612,0.11188927683107475,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Michigan,37,2024-08-07,2024-09-12,37,0,0,1.0,0.3727297297297297,0.5001433396863701,0.12741360995664047,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
Wisconsin,37,2024-08-07,2024-09-12,37,0,0,1.0,0.3215385135135134,0.5498990004191333,0.22836048690561989,True,True,polymarket_mean_and_majority,state_date_forecast_pair_within_90_days,State rows aggregate repeated forecast rows inside one election context; they are not independent elections.
