source_id,source_label,bin_index,bin_label,bin_start,bin_end,row_count,positive_count,mean_forecast_probability,observed_frequency,mean_brier_loss,forecast_minus_observed,absolute_calibration_gap
poll_derived,538 poll-derived,0,0.0-0.2,0.0,0.2,58,0,0.04851700636330781,0.0,0.0031116935199137098,0.04851700636330781,0.04851700636330781
poll_derived,538 poll-derived,1,0.2-0.4,0.2,0.4,102,102,0.3032948647424548,1.0,0.4887728800204808,-0.6967051352575452,0.6967051352575452
poll_derived,538 poll-derived,2,0.4-0.6,0.4,0.6,149,149,0.49308959334859,1.0,0.2596702117869413,-0.5069104066514101,0.5069104066514101
poll_derived,538 poll-derived,3,0.6-0.8,0.6,0.8,6,6,0.7914458829381831,1.0,0.043526174586876715,-0.20855411706181692,0.20855411706181692
poll_derived,538 poll-derived,4,0.8-1.0,0.8,1.0,42,42,0.8545630225324535,1.0,0.023660083432785448,-0.14543697746754647,0.14543697746754647
polymarket,Polymarket,0,0.0-0.2,0.0,0.2,55,0,0.10170909090909092,0.0,0.014130727272727276,0.10170909090909092,0.10170909090909092
polymarket,Polymarket,1,0.2-0.4,0.2,0.4,31,28,0.35951612903225805,0.9032258064516129,0.35648790322580654,-0.5437096774193548,0.5437096774193548
polymarket,Polymarket,2,0.4-0.6,0.4,0.6,187,187,0.5077540106951871,1.0,0.24566203208556145,-0.4922459893048129,0.4922459893048129
polymarket,Polymarket,3,0.6-0.8,0.6,0.8,36,36,0.6145833333333333,1.0,0.14863263888888886,-0.38541666666666674,0.38541666666666674
polymarket,Polymarket,4,0.8-1.0,0.8,1.0,48,48,0.8501041666666667,1.0,0.023201562499999984,-0.14989583333333334,0.14989583333333334
