state,poll_pair_count,matched_case_count,matched_date_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage,first_matched_date,last_matched_date
Arizona,186,180,180,36,144,0,0.2,0.1845911111111111,0.08802200664271663,-0.09656910446839449,2024-03-07,2024-09-12
California,95,68,68,0,68,0,0.0,0.004450588235294118,2.433266703921045e-10,-0.004450587991967448,2024-03-28,2024-09-12
Florida,126,126,126,21,105,0,0.16666666666666666,0.013205158730158728,0.008874943975761173,-0.004330214754397553,2024-04-18,2024-09-12
Georgia,188,182,182,39,143,0,0.21428571428571427,0.14791469780219782,0.06563911115498486,-0.08227558664721293,2024-03-07,2024-09-12
Michigan,192,185,185,52,133,0,0.2810810810810811,0.30012675675675676,0.22652791806917968,-0.07359883868757708,2024-03-08,2024-09-12
Minnesota,75,75,75,47,28,0,0.6266666666666667,0.049434,0.08851098519426599,0.039076985194266,2024-05-14,2024-09-12
Nevada,177,171,171,27,144,0,0.15789473684210525,0.21253187134502924,0.0737868138209313,-0.13874505752409794,2024-03-07,2024-09-12
New Hampshire,23,23,23,0,23,0,0.0,0.03349782608695653,0.005311990493816955,-0.02818583559313957,2024-08-21,2024-09-12
New York,29,29,29,0,29,0,0.0,0.006151724137931034,0.0006657079731230085,-0.005486016164808026,2024-06-20,2024-07-21
North Carolina,175,168,168,32,136,0,0.19047619047619047,0.08856681547619048,0.051154933250079505,-0.037411882226110985,2024-03-08,2024-09-12
Ohio,45,33,33,0,33,0,0.0,0.010443181818181813,0.0003377969565458609,-0.010105384861635954,2024-03-28,2024-09-12
Pennsylvania,188,182,182,39,143,0,0.21428571428571427,0.26582513736263735,0.17940665874637338,-0.08641847861626399,2024-03-07,2024-09-12
Texas,126,108,108,3,105,0,0.027777777777777776,0.013329629629629627,0.002518777376441985,-0.010810852253187644,2024-03-19,2024-09-12
Virginia,11,11,11,7,4,0,0.6363636363636364,0.12137727272727275,0.11056290524991247,-0.01081436747736026,2024-07-11,2024-07-21
Wisconsin,186,179,179,57,122,0,0.31843575418994413,0.27536508379888264,0.2430922628972007,-0.03227282090168189,2024-03-08,2024-09-12
