state,forecast_month,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage
Arizona,2024-03,25,0,25,0,0.0,0.19802499999999987,0.018270256755503603,-0.17975474324449625
Arizona,2024-04,30,0,30,0,0.0,0.23666333333333328,0.0321868076095503,-0.204476525723783
Arizona,2024-05,31,0,31,0,0.0,0.21287096774193548,0.05228312891195527,-0.1605878388299802
Arizona,2024-06,30,0,30,0,0.0,0.15908666666666665,0.0412735691765383,-0.11781309749012836
Arizona,2024-07,21,0,21,0,0.0,0.07741428571428571,0.024921181258642077,-0.05249310445564363
Arizona,2024-08,31,24,7,0,0.7741935483870968,0.20294758064516125,0.27026030768500087,0.06731272703983962
Arizona,2024-09,12,12,0,0,1.0,0.15726666666666667,0.2217668443568012,0.06450017769013452
California,2024-03,4,0,4,0,0.0,0.007225,2.2115963899731174e-09,-0.007224997788403609
California,2024-04,30,0,30,0,0.0,0.005576666666666668,1.7113343173848095e-10,-0.005576666495533236
California,2024-05,24,0,24,0,0.0,0.004225,1.0688775921167983e-10,-0.0042249998931122405
California,2024-09,10,0,10,0,0.0,0.0005039999999999899,5.1885353588959826e-14,-0.0005039999999481046
Florida,2024-04,13,0,13,0,0.0,0.019363461538461538,0.0003333380026600692,-0.01903012353580147
Florida,2024-05,31,0,31,0,0.0,0.008956451612903144,0.0002813888077340515,-0.008675062805169092
Florida,2024-06,30,0,30,0,0.0,0.005600833333333235,0.0011006323763428022,-0.004500200956990432
Florida,2024-07,21,0,21,0,0.0,0.005558333333333232,0.0006795697274892999,-0.004878763605843932
Florida,2024-08,19,13,6,0,0.6842105263157895,0.028731578947368414,0.035051367466900595,0.006319788519532181
Florida,2024-09,12,8,4,0,0.6666666666666666,0.025318749999999998,0.03266004803607463,0.007341298036074636
Georgia,2024-03,25,0,25,0,0.0,0.178447,0.00851801546171624,-0.16992898453828376
Georgia,2024-04,30,0,30,0,0.0,0.17866500000000002,0.01590696291161335,-0.16275803708838665
Georgia,2024-05,31,0,31,0,0.0,0.15296209677419345,0.012705196889719363,-0.1402568998844741
Georgia,2024-06,30,0,30,0,0.0,0.11351166666666658,0.019043861074667063,-0.09446780559199952
Georgia,2024-07,23,2,21,0,0.08695652173913043,0.0626739130434782,0.027106748825657355,-0.03556716421782085
Georgia,2024-08,31,25,6,0,0.8064516129032258,0.17623387096774185,0.21166282132911818,0.03542895036137633
Georgia,2024-09,12,12,0,0,1.0,0.17061875,0.2588316113584865,0.08821286135848647
Michigan,2024-03,24,0,24,0,0.0,0.2647979166666667,0.038336676872958,-0.2264612397937087
Michigan,2024-04,30,0,30,0,0.0,0.30503083333333325,0.08904731842175248,-0.21598351491158077
Michigan,2024-05,31,0,31,0,0.0,0.30743145161290325,0.1801359512389781,-0.12729550037392515
Michigan,2024-06,30,0,30,0,0.0,0.30205666666666653,0.22335670985853798,-0.07869995680812855
Michigan,2024-07,27,9,18,0,0.3333333333333333,0.21400277777777776,0.18445237030254177,-0.02955040747523599
Michigan,2024-08,31,31,0,0,1.0,0.37693629032258075,0.5075051255781454,0.13056883525556467
Michigan,2024-09,12,12,0,0,1.0,0.33018333333333333,0.44319803082825593,0.1130146974949226
Minnesota,2024-05,12,12,0,0,1.0,0.0306249999999999,0.08464267476441976,0.05401767476441986
Minnesota,2024-06,17,17,0,0,1.0,0.0559985294117647,0.1034477146922086,0.04744918528044391
Minnesota,2024-07,21,18,3,0,0.8571428571428571,0.1074333333333333,0.18122372380155596,0.07379039046822267
Minnesota,2024-08,13,0,13,0,0.0,0.004467307692307691,0.0011232023759921153,-0.003344105316315576
Minnesota,2024-09,12,0,12,0,0.0,0.006158333333333334,0.003641734325732509,-0.0025165990076008254
Nevada,2024-03,25,0,25,0,0.0,0.260542,0.010257075659942341,-0.25028492434005767
Nevada,2024-04,30,0,30,0,0.0,0.31726833333333343,0.01851501780467907,-0.29875331552865436
Nevada,2024-05,31,0,31,0,0.0,0.21762903225806443,0.013633336086179042,-0.2039956961718854
Nevada,2024-06,30,0,30,0,0.0,0.12694166666666662,0.035644466157195034,-0.09129720050947158
Nevada,2024-07,21,0,21,0,0.0,0.07555238095238094,0.023770156305529817,-0.05178222464685112
Nevada,2024-08,22,15,7,0,0.6818181818181818,0.24600909090909084,0.2854570735600755,0.03944798265098465
Nevada,2024-09,12,12,0,0,1.0,0.22981666666666659,0.29453928613459396,0.06472261946792737
New Hampshire,2024-08,11,0,11,0,0.0,0.038631818181818156,0.004520039857760836,-0.03411177832405732
New Hampshire,2024-09,12,0,12,0,0.0,0.02879166666666666,0.006037945243534959,-0.0227537214231317
New York,2024-06,11,0,11,0,0.0,0.005624999999999999,0.00023756986525476492,-0.005387430134745234
New York,2024-07,18,0,18,0,0.0,0.006473611111111111,0.0009273479279313111,-0.0055462631831798
North Carolina,2024-03,24,0,24,0,0.0,0.10523125,0.0057143098599948495,-0.09951694014000514
North Carolina,2024-04,30,0,30,0,0.0,0.09174249999999998,0.016385543902442307,-0.07535695609755767
North Carolina,2024-05,31,0,31,0,0.0,0.07042741935483869,0.008643151405674274,-0.06178426794916442
North Carolina,2024-06,30,0,30,0,0.0,0.04996166666666657,0.008752460118415005,-0.04120920654825157
North Carolina,2024-07,21,0,21,0,0.0,0.043692857142857075,0.007323180073385113,-0.03636967706947196
North Carolina,2024-08,20,20,0,0,1.0,0.15661250000000002,0.22718867302770565,0.07057617302770564
North Carolina,2024-09,12,12,0,0,1.0,0.15579166666666666,0.22810394108972076,0.0723122744230541
Ohio,2024-03,4,0,4,0,0.0,0.0092687499999999,6.20682575019614e-05,-0.00920668174249794
Ohio,2024-04,23,0,23,0,0.0,0.011190217391304247,0.00025546621144510295,-0.010934751179859144
Ohio,2024-06,2,0,2,0,0.0,0.0110249999999999,0.0006048591976411,-0.010420140802358799
Ohio,2024-09,4,0,4,0,0.0,0.0070312499999999,0.00095339631937115,-0.006077853680628751
Pennsylvania,2024-03,25,0,25,0,0.0,0.24822499999999997,0.09716470573052575,-0.1510602942694742
Pennsylvania,2024-04,30,0,30,0,0.0,0.3329208333333334,0.1401961623403749,-0.19272467099295848
Pennsylvania,2024-05,31,0,31,0,0.0,0.28349677419354824,0.12138008889099308,-0.16211668530255516
Pennsylvania,2024-06,30,0,30,0,0.0,0.259615,0.15791988470653626,-0.10169511529346373
Pennsylvania,2024-07,23,1,22,0,0.043478260869565216,0.17884673913043475,0.08716888964000354,-0.09167784949043122
Pennsylvania,2024-08,31,26,5,0,0.8387096774193549,0.2852241935483871,0.3736400995733221,0.08841590602493504
Pennsylvania,2024-09,12,12,0,0,1.0,0.22122083333333323,0.32740854442130124,0.10618771108796801
Texas,2024-03,13,0,13,0,0.0,0.011942307692307592,0.0018535620513973382,-0.010088745640910255
Texas,2024-04,30,0,30,0,0.0,0.015064999999999976,0.0003766683448543266,-0.01468833165514565
Texas,2024-05,30,0,30,0,0.0,0.01220083333333325,0.0002462755848175659,-0.011954557748515683
Texas,2024-06,5,0,5,0,0.0,0.0110249999999999,0.0031487977950879,-0.007876202204912
