case_id,state,forecast_timestamp_utc,polymarket_observed_at_utc,polymarket_time_distance_seconds,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,polymarket_condition_id,target_outcome,target_token_id,outcome_value,poll_snapshot_date,poll_republican_pct,poll_democratic_pct,poll_margin_republican_minus_democratic,poll_error_mae_points,poll_error_sigma_points,poll_transform_name,poll_derived_probability,polymarket_probability,polymarket_brier,poll_derived_brier,loss_advantage,lower_loss_source,poll_average_source_url,poll_error_source_url,polymarket_source_url,price_history_source_url,allowed_interpretation,limitation
us_2024_president_arizona_republican,Arizona,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,arizona-presidential-election-winner,will-a-republican-win-arizona-presidential-election,255051,0x4d848bab2da79b9ff7f2b2b0d9ddb048bb1fb47e9f782887f16e91d27de41279,Republican wins state,64972410044896218211047269420581789917870192018252181026286744947120013986348,1.0,2024-09-12,46.151250000000005,45.5599,0.5913500000000056,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.5494078951568299,0.605,0.15602500000000002,0.20303324494699843,0.0470082449469984,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/arizona-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_california_republican,California,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,california-presidential-election-winner,will-a-republican-win-california-in-the-2024-us-presidential-election,255061,0x6964df311eba3add433112c9ab13ef529c8e2e07e7c115b9cc548de035f5b25f,Republican wins state,99830846713807084277950392215452568080477500108350730334986898631459175275385,0.0,2024-09-12,34.417950000000005,58.30125,-23.8833,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,2.654882269581549e-07,0.0185,0.00034224999999999994,7.048399865338475e-14,-0.00034224999992951596,poll_derived_forecast,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/california-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_florida_republican,Florida,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,florida-presidential-election-winner,will-a-republican-win-florida-in-the-2024-us-presidential-election,255083,0x5a06bb8f86198aac8ae8b9a2610f1bdcf8954123dc51d51a3e6c492f88821ba8,Republican wins state,98021166935117039411751630581502824091054448039251810280365647472625878604011,1.0,2024-09-12,48.28725,44.19405,4.093200000000003,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.8049532058894451,0.83,0.028900000000000012,0.038043251892805205,0.009143251892805192,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/florida-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_georgia_republican,Georgia,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,georgia-presidential-election-winner,will-a-republican-win-georgia-presidential-election,255087,0x7606802127355512c8f8ff9c70ef27a2717a8554374d84452de4c7d28147338d,Republican wins state,10874846387975190407444713373765853114527145924436779240006871443341352408992,1.0,2024-09-12,46.48275,45.96245,0.520300000000006,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.543496785533558,0.585,0.17222500000000002,0.20839518481819438,0.03617018481819437,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/georgia-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_michigan_republican,Michigan,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,michigan-presidential-election-winner,will-a-republican-win-michigan-presidential-election,255144,0xbb01eefb24a38a9aa1921ec168d3049e7374b28a2540937d06b3ff2524d66627,Republican wins state,105184348976114274990683066782141725521410345945023353024053078695238621958578,1.0,2024-09-12,44.953100000000006,46.6559,-1.7027999999999963,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.36034518887117806,0.42,0.3364000000000001,0.40915827740024885,0.07275827740024876,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/michigan-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_minnesota_republican,Minnesota,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,minnesota-presidential-election-winner,will-a-republican-win-minnesota-in-the-2024-us-presidential-election,255149,0x8d6c72da067c6a11bc691b8a2c59fde834cf6ad25d218be415989b2026bdf2b6,Republican wins state,92117185710429643911455104199091166119411848668357581614617019864951532204911,0.0,2024-09-12,41.858900000000006,48.99625,-7.137349999999998,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.06698525412317458,0.075,0.005625,0.004487024269946276,-0.0011379757300537235,poll_derived_forecast,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/minnesota-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_nevada_republican,Nevada,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,nevada-presidential-election-winner,will-a-republican-win-nevada-presidential-election,255054,0xdd2f4921a562fc4d18c0bde327d2a9315352a3ba4137656112b9b1770fd1f2a9,Republican wins state,22811156622772246927379314532791131581149105511872861362055243423465705837015,1.0,2024-09-12,45.4593,45.7594,-0.3001000000000005,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.4748785207945448,0.505,0.245025,0.2757525679229254,0.030727567922925414,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/nevada-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_new_hampshire_republican,New Hampshire,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,new-hampshire-presidential-election-winner,will-a-republican-win-new-hampshire-in-the-2024-us-presidential-election,255068,0x9be6760eca88434624ecb3e9dbf3b1ff161c630559c52d80b2b23b8efbcd43bf,Republican wins state,75196359692989187018411418870859031296447545562973355617507233505746713995861,0.0,2024-09-12,43.5081,50.1421,-6.634,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.08181919935411291,0.145,0.021025,0.006694381382948071,-0.014330618617051927,poll_derived_forecast,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/new-hampshire-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_north_carolina_republican,North Carolina,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,north-carolina-presidential-election-winner,will-a-republican-win-north-carolina-presidential-election,255098,0x773f3ca26bdf685da92d2a8a701dd98e4e8b46e0b5366cf09aed9eb8fb6fc189,Republican wins state,25474014705297439146444713942104010240322868585952420291288261803408266882449,1.0,2024-09-12,45.9625,46.259,-0.29650000000000176,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.47517948659635695,0.595,0.16402500000000003,0.2754365712892634,0.11141157128926338,polymarket,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/north-carolina-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
us_2024_president_ohio_republican,Ohio,2024-09-12T12:00:00Z,2024-09-12T12:00:02Z,2,ohio-presidential-election-winner,will-a-republican-win-ohio-in-the-2024-us-presidential-election-2024,255124,0x009f3196eb90f47b7eb23e1cc0b06759806df193ec58a0dab081eaabbe8a1310,Republican wins state,98992663783739999588255893859010135546350245175548027994964451474849820042816,1.0,2024-09-12,50.4369,41.59105,8.845849999999999,3.8,4.7625937217989005,normal_margin_error_from_538_poll_mae,0.9683700072791614,0.91,0.008099999999999994,0.0010004564395202998,-0.007099543560479695,poll_derived_forecast,https://raw.githubusercontent.com/fivethirtyeight/data/master/polls/2024-averages/presidential_general_averages_2024-09-12_uncorrected.csv,https://abcnews.com/538/538s-final-forecasts-2024-election/story?id=115511051,https://polymarket.com/event/ohio-presidential-election-winner,https://clob.polymarket.com/prices-history,State-level Brier comparison between Polymarket Republican-win prices and a documented poll-derived Republican-win probability.,"The poll-derived probability is a transparent transformation of 538 polling averages, not an official 538 state win forecast and not raw poll shares."
