state,polymarket_event_slug,polymarket_market_slug,polymarket_market_available,poll_snapshot_has_rep_dem,included_in_brier_comparison,outcome_value,coverage_status,exclusion_reason
Alabama,alabama-presidential-election-winner,will-a-republican-win-alabama-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Alaska,alaska-presidential-election-winner,will-a-republican-win-alaska-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Arizona,arizona-presidential-election-winner,will-a-republican-win-arizona-presidential-election,True,True,True,1.0,included_brier_pair,
Arkansas,arkansas-presidential-election-winner,will-a-republican-win-arkansas-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
California,california-presidential-election-winner,will-a-republican-win-california-in-the-2024-us-presidential-election,True,True,True,0.0,included_brier_pair,
Colorado,colorado-presidential-election-winner,will-a-republican-win-colorado-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Connecticut,connecticut-presidential-election-winner,will-a-republican-win-connecticut-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Delaware,delaware-presidential-election-winner,will-a-republican-win-delaware-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Florida,florida-presidential-election-winner,will-a-republican-win-florida-in-the-2024-us-presidential-election,True,True,True,1.0,included_brier_pair,
Georgia,georgia-presidential-election-winner,will-a-republican-win-georgia-presidential-election,True,True,True,1.0,included_brier_pair,
Hawaii,hawaii-presidential-election-winner,will-a-republican-win-hawaii-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Idaho,idaho-presidential-election-winner,will-a-republican-win-idaho-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Illinois,illinois-presidential-election-winner,will-a-republican-win-illinois-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Indiana,indiana-presidential-election-winner,will-a-republican-win-indiana-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Iowa,iowa-presidential-election-winner,will-a-republican-win-iowa-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Kansas,kansas-presidential-election-winner,will-a-republican-win-kansas-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Kentucky,kentucky-presidential-election-winner,will-a-republican-win-kentucky-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Louisiana,louisiana-presidential-election-winner,will-a-republican-win-louisiana-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Maine,maine-presidential-election-winner,will-a-republican-win-maine-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Maryland,maryland-presidential-election-winner,will-a-republican-win-maryland-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Massachusetts,massachusetts-presidential-election-winner,will-a-republican-win-massachusetts-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Michigan,michigan-presidential-election-winner,will-a-republican-win-michigan-presidential-election,True,True,True,1.0,included_brier_pair,
Minnesota,minnesota-presidential-election-winner,will-a-republican-win-minnesota-in-the-2024-us-presidential-election,True,True,True,0.0,included_brier_pair,
Mississippi,mississippi-presidential-election-winner,will-a-republican-win-mississippi-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Missouri,missouri-presidential-election-winner,will-a-republican-win-missouri-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Montana,montana-presidential-election-winner,will-a-republican-win-montana-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Nebraska,nebraska-presidential-election-winner,will-a-republican-win-nebraska-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Nevada,nevada-presidential-election-winner,will-a-republican-win-nevada-presidential-election,True,True,True,1.0,included_brier_pair,
New Hampshire,new-hampshire-presidential-election-winner,will-a-republican-win-new-hampshire-in-the-2024-us-presidential-election,True,True,True,0.0,included_brier_pair,
New Jersey,new-jersey-presidential-election-winner,will-a-republican-win-new-jersey-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
New Mexico,new-mexico-presidential-election-winner,will-a-republican-win-new-mexico-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
New York,new-york-presidential-election-winner,will-a-republican-win-new-york-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
North Carolina,north-carolina-presidential-election-winner,will-a-republican-win-north-carolina-presidential-election,True,True,True,1.0,included_brier_pair,
North Dakota,north-dakota-presidential-election-winner,will-a-republican-win-north-dakota-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Ohio,ohio-presidential-election-winner,will-a-republican-win-ohio-in-the-2024-us-presidential-election-2024,True,True,True,1.0,included_brier_pair,
Oklahoma,oklahoma-presidential-election-winner,will-a-republican-win-oklahoma-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Oregon,oregon-presidential-election-winner,will-a-republican-win-oregon-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Pennsylvania,pennsylvania-presidential-election-winner,will-a-republican-win-pennsylvania-presidential-election,True,True,True,1.0,included_brier_pair,
Rhode Island,rhode-island-presidential-election-winner,will-a-republican-win-rhode-island-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
South Carolina,south-carolina-presidential-election-winner,will-a-republican-win-south-carolina-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
South Dakota,south-dakota-presidential-election-winner,will-a-republican-win-south-dakota-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Tennessee,tennessee-presidential-election-winner,will-a-republican-win-tennessee-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Texas,texas-presidential-election-winner,will-a-republican-win-texas-in-the-2024-us-presidential-election,True,True,True,1.0,included_brier_pair,
Utah,utah-presidential-election-winner,will-a-republican-win-utah-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Vermont,vermont-presidential-election-winner,will-a-republican-win-vermont-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Virginia,virginia-presidential-election-winner,will-a-republican-win-virginia-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Washington,washington-presidential-election-winner,will-a-reoublican-win-washington-in-the-2024-us-presidential-election,True,False,False,0.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
West Virginia,west-virginia-presidential-election-winner,will-a-republican-win-west-virginia-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
Wisconsin,wisconsin-presidential-election-winner,will-a-republican-win-wisconsin-presidential-election,True,True,True,1.0,included_brier_pair,
Wyoming,wyoming-presidential-election-winner,will-a-republican-win-wyoming-in-the-2024-us-presidential-election,True,False,False,1.0,excluded_missing_538_poll_snapshot,No REP/DEM row in preserved 538 polling-average snapshot.
