poll_error_mae_points,poll_error_sigma_points,case_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage
2.0,2.5066282746310002,13,7,6,0,0.5384615384615384,0.13355132692307692,0.2061236977377593,0.07257237081468237
2.5,3.1332853432887506,13,7,6,0,0.5384615384615384,0.13355132692307692,0.19282489416450038,0.059273567241423464
3.0,3.7599424119465006,13,7,6,0,0.5384615384615384,0.13355132692307692,0.18411137840068015,0.05056005147760323
3.5,4.386599480604251,13,8,5,0,0.6153846153846154,0.13355132692307692,0.1785710761066075,0.04501974918353058
3.8,4.7625937217989005,13,8,5,0,0.6153846153846154,0.13355132692307692,0.17635906875132107,0.04280774182824415
4.0,5.0132565492620005,13,9,4,0,0.6923076923076923,0.13355132692307692,0.1752487186141084,0.04169739169103148
4.5,5.639913617919751,13,9,4,0,0.6923076923076923,0.13355132692307692,0.17348120725199087,0.03992988032891395
5.0,6.266570686577501,13,10,3,0,0.7692307692307693,0.13355132692307692,0.17279807466142094,0.03924674773834402
6.0,7.519884823893001,13,12,1,0,0.9230769230769231,0.13355132692307692,0.17343780418284374,0.03988647725976682
7.0,8.773198961208502,13,11,2,0,0.8461538461538461,0.13355132692307692,0.17548443826461627,0.04193311134153935
8.0,10.026513098524001,13,11,2,0,0.8461538461538461,0.13355132692307692,0.1780980538237003,0.04454672690062339
10.0,12.533141373155003,13,12,1,0,0.9230769230769231,0.13355132692307692,0.18361588514351973,0.05006455822044281
