state,source_count,direct_poll_source_count,polymarket_lower_loss_source_count,comparator_lower_loss_source_count,tie_source_count,polymarket_lower_loss_share,state_consensus_winner,direct_poll_polymarket_lower_loss_count,direct_poll_comparator_lower_loss_count,direct_poll_tie_count,direct_poll_consensus_winner,mean_polymarket_brier,mean_comparator_brier,mean_loss_advantage,source_ids,allowed_interpretation,limitation
Alabama,2,0,0,2,0,0.0,comparator,0,0,0,no_direct_poll_source,0.0001562499999999,5.3049999999999755e-06,-0.00015094499999990002,rieke_poll_model;two_seventy_jhk_model,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Alaska,3,1,1,2,0,0.3333333333333333,comparator,1,0,0,polymarket,0.002025,0.0010388247959863,-0.0009861752040137,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Arizona,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.07052499999999992,0.13008106980501696,0.05955606980501703,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Arkansas,3,1,0,3,0,0.0,comparator,0,1,0,comparator,2.0249999999999537e-05,1.7595043741179424e-06,-1.8490495625881594e-05,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
California,4,2,0,4,0,0.0,comparator,0,2,0,comparator,0.0002222499999999,2.50000019916926e-07,-0.00022199999997998308,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Colorado,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.0012959999999999,0.0003273684165477679,-0.0009686315834521322,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Connecticut,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.000256,1.2374703451534173e-06,-0.0002547625296548466,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Delaware,3,1,0,3,0,0.0,comparator,0,1,0,comparator,0.00024024999999989997,3.3454209996797744e-05,-0.00020679579000310226,rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Florida,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.00874375,0.01526365529684485,0.006519905296844849,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
Georgia,4,2,4,0,0,1.0,polymarket,2,0,0,polymarket,0.11985624999999991,0.1525394017948626,0.03268315179486271,five_thirty_eight_poll_snapshot;rieke_poll_model;two_seventy_jhk_model;two_seventy_poll_average,State-level consensus over existing H1 source comparisons.,Consensus counts compare source outputs for the same state outcome; they are not independent election outcomes.
