tier,price_measure,activity_measure,lag_days,observation_count,f_statistic,p_value,df_denom,df_num,status
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,1,304,10.65991008114808,0.0012215261772954022,300.0,1.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,2,304,5.044834302245344,0.007005669894044349,297.0,2.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,3,304,0.4135823402296595,0.743370577853851,294.0,3.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,4,304,0.3429753713198465,0.8488097703926797,291.0,4.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,5,304,0.31383803812458433,0.9044876830156807,288.0,5.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,6,304,0.3602400805891621,0.9035823028359846,285.0,6.0,ok
tier_1_top_1pct,polymarket_daily_price_change,log1p_total_amount_usd_change,7,304,0.271035911681249,0.9647765152993082,282.0,7.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,1,304,0.5411505176016662,0.4625310410252952,300.0,1.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,2,304,0.585139184902316,0.5576691669416729,297.0,2.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,3,304,0.12801698514097468,0.9434352731913173,294.0,3.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,4,304,0.3164460912425958,0.8668867436410943,291.0,4.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,5,304,0.2778591291143617,0.9250604098535712,288.0,5.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,6,304,0.24256448960200402,0.9619887996263488,285.0,6.0,ok
tier_2_top_5pct,polymarket_daily_price_change,log1p_total_amount_usd_change,7,304,0.28546455302928336,0.959351650042206,282.0,7.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,1,304,0.8949153871441295,0.34491006382135697,300.0,1.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,2,304,0.6304934453559644,0.5330400249213071,297.0,2.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,3,304,0.49100365200268453,0.6887876348277693,294.0,3.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,4,304,0.40251498547315484,0.8067907411634921,291.0,4.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,5,304,0.34104079042810886,0.887762887036756,288.0,5.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,6,304,0.6378631303788614,0.6998993705098753,285.0,6.0,ok
tier_3_top_10pct,polymarket_daily_price_change,log1p_total_amount_usd_change,7,304,0.6000294745394601,0.7557619484896134,282.0,7.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,1,304,0.000527016002744014,0.9816999709580062,300.0,1.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,2,304,0.0009509438549107822,0.9990495111907634,297.0,2.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,3,304,0.16407868617734736,0.9205010838944104,294.0,3.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,4,304,0.4357835110776795,0.7827298071318024,291.0,4.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,5,304,0.3604979724658626,0.8752570440249242,288.0,5.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,6,304,0.3957000887784581,0.8815506290937231,285.0,6.0,ok
tier_4_observed_baseline,polymarket_daily_price_change,log1p_total_amount_usd_change,7,304,0.5648585371334641,0.7842327176399485,282.0,7.0,ok
