window_label,event_id,event_date,date,relative_day,tier,activity_date_available,has_activity,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-16,-14,tier_1_top_1pct,True,True,8,2,136803.781213,136803.781213,0.0,136803.781213
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-16,-14,tier_2_top_5pct,True,True,1,1,14115.0,14115.0,0.0,14115.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-16,-14,tier_3_top_10pct,True,True,2,2,178715.1301,178715.1301,0.0,178715.1301
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-16,-14,tier_4_observed_baseline,True,True,4,4,68188.35505,68188.35505,0.0,68188.35505
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-17,-13,tier_1_top_1pct,True,True,7,2,204048.734598,204048.734598,0.0,204048.734598
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-17,-13,tier_2_top_5pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-17,-13,tier_3_top_10pct,True,True,2,2,38533.5396,38533.5396,0.0,38533.5396
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-17,-13,tier_4_observed_baseline,True,True,2,2,38940.0,38940.0,0.0,38940.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-18,-12,tier_1_top_1pct,True,True,3,2,81032.673999,81032.673999,0.0,81032.673999
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-18,-12,tier_2_top_5pct,True,True,1,1,37240.0,37240.0,0.0,37240.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-18,-12,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-18,-12,tier_4_observed_baseline,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-19,-11,tier_1_top_1pct,True,True,3,1,48257.683148,48257.683148,0.0,48257.683148
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-19,-11,tier_2_top_5pct,True,True,1,1,36310.3956,36310.3956,0.0,36310.3956
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-19,-11,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-19,-11,tier_4_observed_baseline,True,True,1,1,12654.633333,12654.633333,0.0,12654.633333
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-20,-10,tier_1_top_1pct,True,True,12,3,284051.4961,284051.4961,0.0,284051.4961
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-20,-10,tier_2_top_5pct,True,True,1,1,78514.826666,78514.826666,0.0,78514.826666
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-20,-10,tier_3_top_10pct,True,True,1,1,13950.0,13950.0,0.0,13950.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-20,-10,tier_4_observed_baseline,True,True,4,3,61969.295,61969.295,0.0,61969.295
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-21,-9,tier_1_top_1pct,True,True,7,2,242643.452,242643.452,0.0,242643.452
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-21,-9,tier_2_top_5pct,True,True,2,1,41853.387592,41853.387592,0.0,41853.387592
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-21,-9,tier_3_top_10pct,True,True,2,2,33193.1553,33193.1553,0.0,33193.1553
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-21,-9,tier_4_observed_baseline,True,True,7,5,80829.844732,80829.844732,0.0,80829.844732
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-22,-8,tier_1_top_1pct,True,True,9,2,226342.236599,226342.236599,0.0,226342.236599
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-22,-8,tier_2_top_5pct,True,True,1,1,20754.84033,20754.84033,0.0,20754.84033
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-22,-8,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-22,-8,tier_4_observed_baseline,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-23,-7,tier_1_top_1pct,True,True,9,4,143854.060899,143854.060899,0.0,143854.060899
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-23,-7,tier_2_top_5pct,True,True,6,5,99650.699802,99650.699802,0.0,99650.699802
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-23,-7,tier_3_top_10pct,True,True,3,1,48053.019033,48053.019033,0.0,48053.019033
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-23,-7,tier_4_observed_baseline,True,True,17,14,317012.448,317012.448,0.0,317012.448
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-24,-6,tier_1_top_1pct,True,True,16,2,223506.276056,223506.276056,0.0,223506.276056
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-24,-6,tier_2_top_5pct,True,True,1,1,43912.0,43912.0,0.0,43912.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-24,-6,tier_3_top_10pct,True,True,1,1,12150.0,12150.0,0.0,12150.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-24,-6,tier_4_observed_baseline,True,True,4,4,54928.355774,54928.355774,0.0,54928.355774
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-25,-5,tier_1_top_1pct,True,True,3,1,60896.359999,60896.359999,0.0,60896.359999
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-25,-5,tier_2_top_5pct,True,True,1,1,14916.2598,14916.2598,0.0,14916.2598
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-25,-5,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-25,-5,tier_4_observed_baseline,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-26,-4,tier_1_top_1pct,True,True,3,1,50008.066,50008.066,0.0,50008.066
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-26,-4,tier_2_top_5pct,True,True,1,1,13909.11724,13909.11724,0.0,13909.11724
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-26,-4,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-26,-4,tier_4_observed_baseline,True,True,1,1,19051.0552,19051.0552,0.0,19051.0552
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-27,-3,tier_1_top_1pct,True,True,5,1,118345.215999,118345.215999,0.0,118345.215999
