window_label,tier,relative_day,event_count,available_event_days,active_event_days,active_event_share,total_trade_rows,total_active_wallet_observations,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd,avg_trade_rows_per_event,avg_total_amount_usd_per_event
lead_minus_14d_to_0d,tier_1_top_1pct,-14,7,7,7,1.0,271,23,6139487.178459,6139487.178459,0.0,6139487.178459,38.714285714285715,877069.5969227143
lead_minus_14d_to_0d,tier_1_top_1pct,-13,7,7,7,1.0,265,25,6166026.988659,6166026.988659,0.0,6166026.988659,37.857142857142854,880860.9983798572
lead_minus_14d_to_0d,tier_1_top_1pct,-12,7,7,7,1.0,172,25,4517457.305277,4517457.305277,0.0,4517457.305277,24.571428571428573,645351.0436110001
lead_minus_14d_to_0d,tier_1_top_1pct,-11,7,7,7,1.0,162,16,3217777.9000549996,3217777.9000549996,0.0,3217777.9000549996,23.142857142857142,459682.5571507142
lead_minus_14d_to_0d,tier_1_top_1pct,-10,7,7,7,1.0,224,28,4783006.724453,4783006.724453,0.0,4783006.724453,32.0,683286.6749218572
lead_minus_14d_to_0d,tier_1_top_1pct,-9,7,7,7,1.0,169,21,3480067.638251,3480067.638251,0.0,3480067.638251,24.142857142857142,497152.5197501429
lead_minus_14d_to_0d,tier_1_top_1pct,-8,7,7,7,1.0,260,17,6237793.286299,6237793.286299,0.0,6237793.286299,37.142857142857146,891113.3266141427
lead_minus_14d_to_0d,tier_1_top_1pct,-7,7,7,7,1.0,219,23,6549762.562895,6549762.562895,0.0,6549762.562895,31.285714285714285,935680.3661278571
lead_minus_14d_to_0d,tier_1_top_1pct,-6,7,7,7,1.0,288,25,7991515.355895,7991515.355895,0.0,7991515.355895,41.142857142857146,1141645.050842143
lead_minus_14d_to_0d,tier_1_top_1pct,-5,7,7,7,1.0,388,28,12377352.969607,12377352.969607,0.0,12377352.969607,55.42857142857143,1768193.2813724284
lead_minus_14d_to_0d,tier_1_top_1pct,-4,7,7,7,1.0,261,26,7288279.079565,7288279.079565,0.0,7288279.079565,37.285714285714285,1041182.7256521428
lead_minus_14d_to_0d,tier_1_top_1pct,-3,7,7,7,1.0,288,22,6638799.180431,6638799.180431,0.0,6638799.180431,41.142857142857146,948399.8829187143
lead_minus_14d_to_0d,tier_1_top_1pct,-2,7,7,7,1.0,294,25,9016359.467824,9016359.467824,0.0,9016359.467824,42.0,1288051.3525462858
lead_minus_14d_to_0d,tier_1_top_1pct,-1,7,7,7,1.0,258,21,8091778.812215,8091778.812215,0.0,8091778.812215,36.857142857142854,1155968.4017450002
lead_minus_14d_to_0d,tier_1_top_1pct,0,7,7,7,1.0,608,42,22186170.831328,22186170.831328,0.0,22186170.831328,86.85714285714286,3169452.975904
lead_minus_14d_to_0d,tier_2_top_5pct,-14,7,7,7,1.0,24,18,634090.989,634090.989,0.0,634090.989,3.4285714285714284,90584.427
lead_minus_14d_to_0d,tier_2_top_5pct,-13,7,7,5,0.7142857142857143,35,21,687584.682268,687584.682268,0.0,687584.682268,5.0,98226.38318114285
lead_minus_14d_to_0d,tier_2_top_5pct,-12,7,7,6,0.8571428571428571,24,19,799294.0901,799294.0901,0.0,799294.0901,3.4285714285714284,114184.87001428571
lead_minus_14d_to_0d,tier_2_top_5pct,-11,7,7,7,1.0,23,18,523357.74094,523357.74094,0.0,523357.74094,3.2857142857142856,74765.39156285714
lead_minus_14d_to_0d,tier_2_top_5pct,-10,7,7,7,1.0,27,21,519476.884424,519476.884424,0.0,519476.884424,3.857142857142857,74210.98348914286
lead_minus_14d_to_0d,tier_2_top_5pct,-9,7,7,7,1.0,23,17,430862.323922,430862.323922,0.0,430862.323922,3.2857142857142856,61551.760560285715
lead_minus_14d_to_0d,tier_2_top_5pct,-8,7,7,7,1.0,26,21,559225.1227899999,559225.1227899999,0.0,559225.1227899999,3.7142857142857144,79889.30325571427
lead_minus_14d_to_0d,tier_2_top_5pct,-7,7,7,7,1.0,25,20,461675.758992,461675.758992,0.0,461675.758992,3.5714285714285716,65953.679856
lead_minus_14d_to_0d,tier_2_top_5pct,-6,7,7,7,1.0,19,17,514370.89405999996,514370.89405999996,0.0,514370.89405999996,2.7142857142857144,73481.5562942857
lead_minus_14d_to_0d,tier_2_top_5pct,-5,7,7,7,1.0,45,26,1375564.6999400002,1375564.6999400002,0.0,1375564.6999400002,6.428571428571429,196509.24284857145
lead_minus_14d_to_0d,tier_2_top_5pct,-4,7,7,6,0.8571428571428571,16,16,621287.767946,621287.767946,0.0,621287.767946,2.2857142857142856,88755.39542085714
lead_minus_14d_to_0d,tier_2_top_5pct,-3,7,7,7,1.0,41,27,1262517.027512,1262517.027512,0.0,1262517.027512,5.857142857142857,180359.57535885714
lead_minus_14d_to_0d,tier_2_top_5pct,-2,7,7,6,0.8571428571428571,23,19,822233.816783,822233.816783,0.0,822233.816783,3.2857142857142856,117461.97382614286
lead_minus_14d_to_0d,tier_2_top_5pct,-1,7,7,5,0.7142857142857143,34,24,672891.429625,672891.429625,0.0,672891.429625,4.857142857142857,96127.34708928571
