date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-01-01,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-01,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-01,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-01,tier_4_observed_baseline,1,1,12782.205,12782.205,0.0,12782.205
2024-01-02,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-02,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-02,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-02,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-03,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-03,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-03,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-03,tier_4_observed_baseline,2,2,23056.860399999998,23056.860399999998,0.0,23056.860399999998
2024-01-04,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-04,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-04,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-04,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-05,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-05,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-05,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-05,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-06,tier_1_top_1pct,0,0,0.0,0.0,0.0,0.0
2024-01-06,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-06,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-06,tier_4_observed_baseline,4,4,52321.286819,52321.286819,0.0,52321.286819
2024-01-07,tier_1_top_1pct,8,2,289606.923998,289606.923998,0.0,289606.923998
2024-01-07,tier_2_top_5pct,3,2,147161.3,147161.3,0.0,147161.3
