event,condition_id,clob_token_id,drop_ts_utc,korrekt_aufgeloestes_outcome,n_punkte,n_punkte_baseline,baseline_preis,erste_reaktion_epoch,minuten_bis_erste_reaktion,konvergenz_epoch,minuten_bis_konvergenz,stunden_im_handelbaren_fenster,endpreis,status
melania_ai_talk,0xb3dbb0f2e1df15cc820e0cde749eb112bf160994ec53a8ac57dceff9dbe5007e,62293449364589008944386324533927606169739225814069793529496999376135374665211,2026-01-16T17:00:00Z,NO,6304,60,0.54,1768583230,7.2,1768605372,376.2,4.58,0.0005,ok
baier_interview,0x4382d7a5908ea9779dbc0daef377eaf77125757a913efc59f3a41b4647f7366c,68066403017329708889922900303171272270435237805242298460402334052672445828659,2026-05-15T22:00:00Z,YES,4567,60,0.26,1778882407,0.1,1778961311,1315.2,17.32,0.9995,ok
netflix_earnings,0x3afaa6c9c9487ab0eff39abb4e93be2647afcb4069e1ce8e6af5cca37de14438,9150172187999749270028515736853734790361197935118480975845332252523455886710,2026-01-20T21:42:36Z,YES,6205,60,0.4345,1768945389,0.6,1768952772,123.6,1.52,0.9995,ok
cnbc_kernen,0xe867ba2fa5fe6b2a6353eea0cd9398a9d03a9a952fbe274d5048db8789498cae,50592195131998032447221625758878563952411810378800627653442315779889944941610,2026-01-21T20:00:00Z,NO,4700,60,0.73,1769026217,10.3,1769038875,221.2,3.62,0.0005,ok
panthers_visit,0x288a6193d8f99f6cd90b4bd68f91a958cca08c87c2201193f73928ab52ba0172,84913441833618045284563122437264212540646526414408583148845271560734047110860,2026-01-15T21:21:00Z,YES,4676,60,0.66,1768512074,0.2,1768530074,300.2,0.63,0.9995,ok
pgl_final,0x83b5e51c5158709d5f068d7314978388b969cfcb06005d0952ba04eacf6078c9,9648570794926342234810337440548263299131503889218396734626666401146175163183,2026-04-11T14:00:00Z,NO,7922,60,0.64,1775921202,86.7,1776210711,4911.9,42.05,0.0005,ok
inauguration,0xec062773d9bcb38e22d673402ea20e895c764e0f85d8691c541fa896812c1948,54646483567934544920182285415518057070162892401402399792355532045094039069738,2025-01-20T17:10:00Z,NO,310,60,0.425,1737393003,0.1,1737394803,30.1,0.48,0.001,ok
powell_june,0xa864970637119a0bd5033afd3347fcf4998578831e1fcae13c47a26e1c8ba960,8169026020839744971496855806967066206446181188292687998822946039706436315843,2025-06-18T18:30:00Z,NO,6216,60,0.3925,1750271408,0.1,1750289527,302.1,2.03,0.0005,ok
allin_next_episode,0xc7dee18fb2c02b56f45720e753d0e4483f441e04a40062d58227ce2d9bd5dd40,65380067573943412471748362051869474689006449354042653969122965828807065568870,2026-02-13T21:56:00Z,YES,4807,60,0.9115,1771046838,451.3,1771263622,4064.4,55.65,0.9995,ok
jre_trump_2219,0x61a4709e69c966e531dd99d43b7e61dde4ee686e365ba9e242453b1ff33c3722,40265995327723058512884059065584670012524171259747665175335743407628251053085,2024-10-26T02:33:00Z,NO,343,60,0.2425,1729909982,0.0,1729908602,-23.0,0.0,0.0045,bereits_vor_drop_konvergiert
jre_vance_2221,0x65f670cf6f0bbac44a2fa0fdb0df8a6841af0f5cc2a72ff11add4870d5319198,59805362042309325617603175198023517430607032284096323382515573118308665179642,2024-10-31T17:00:00Z,NO,547,60,0.12,1730394242,4.0,1730394362,6.0,0.08,0.0005,ok
southpark_s27e5,0x0223472ec2eb0c8bf6cdbc2bd3669adc87cdf2a58ce144cf90c2fe7bdea2ca2f,112577197739472489479449779794338411229648098814379399272581695896914420183398,2025-09-25T02:00:00Z,YES,218,60,0.255,1758765605,0.1,1758766023,7.0,0.12,0.9995,ok
southpark_s27e6,0x7ed7e68430cd942146f8ca5182f1640b1c226ae39cc8da355b36a00947306023,99688508241791710267114180363016295820549381654785737835601536653941248649367,2025-10-16T02:00:00Z,YES,4420,60,0.51,1760580009,0.1,1760637663,961.0,9.17,0.9995,ok
