case_id,packet_id,current_status,allowed_next_statuses,blocked_next_statuses,transition_requirements,thesis_use_allowed,thesis_use_gate,reviewer_action_required,source_packet_artifact,allowed_interpretation,blocked_claims
monitor_candidate_20260522_204500_d24c162f8b73,case_review_packet_monitor_candidate_20260522_204500_d24c162f8b73,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_204500_e24668f3f71b,case_review_packet_monitor_candidate_20260522_204500_e24668f3f71b,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_205000_5dbff64bc3b3,case_review_packet_monitor_candidate_20260522_205000_5dbff64bc3b3,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_205000_e02af5d15ac8,case_review_packet_monitor_candidate_20260522_205000_e02af5d15ac8,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_210000_b265c77e872d,case_review_packet_monitor_candidate_20260522_210000_b265c77e872d,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_210500_83136b9f5cbb,case_review_packet_monitor_candidate_20260522_210500_83136b9f5cbb,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_214500_9a6abaddeae0,case_review_packet_monitor_candidate_20260522_214500_9a6abaddeae0,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_215000_ac5932fae4cc,case_review_packet_monitor_candidate_20260522_215000_ac5932fae4cc,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_204500_759f3661e55c,case_review_packet_monitor_candidate_20260522_204500_759f3661e55c,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_204500_f183079f2c3f,case_review_packet_monitor_candidate_20260522_204500_f183079f2c3f,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_205500_31bc7f1998f4,case_review_packet_monitor_candidate_20260522_205500_31bc7f1998f4,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_205500_4902be7e4cdb,case_review_packet_monitor_candidate_20260522_205500_4902be7e4cdb,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
monitor_candidate_20260522_211000_9c25d1497516,case_review_packet_monitor_candidate_20260522_211000_9c25d1497516,needs_human_review,source_check_pending;thesis_excluded,reviewed_keep_candidate;reviewed_false_context,"Record public market source URL, public event/context source URL, reviewer, timestamp, and review note before acceptance or false-context decisions.",false,No thesis-facing use before source check and human review decision.,Open source check or explicitly exclude the case.,monitor_anomaly_case_review_packets.csv,Deterministic anomaly review cue for human source checking and later bounded SignalSpec drafting only; not a metric calculated by agents.,private_information_proof; misconduct_finding; causality; tradeability; profitability; future_performance; order_instruction; insider_risk_as_fact
