candidate_id,timestamp_utc,market_id,question,category,subcategory,anomaly_row_count,max_severity,anomaly_families,metric_names,max_robust_z,max_percentile_rank,latest_midpoint_min,latest_midpoint_max,active_wallets,trade_count,total_observed_amount_usd,amount_per_wallet,amount_per_trade,materiality_label,reference_amount_usd,reference_amount_ratio,relative_signal_strength,absolute_amount_context,reference_scale_context,coordination_label,coordination_context,insider_risk_review_label,literature_wallet_risk_score,literature_wallet_risk_flag,literature_market_risk_score,literature_market_risk_flag,literature_risk_feature_status,triggered_patterns,best_reference_case_id,best_similarity_score,matched_patterns,plain_language_summary,wallet_amount_explanation,concentration_explanation,reference_overlap_explanation,why_flagged,available_evidence,missing_evidence,review_priority,recommended_next_step,human_review_status,allowed_interpretation,limitation,source_artifacts
monitor_candidate_20260522_204500_e24668f3f71b,2026-05-22T20:45:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,geopolitics,will-the-us-invade-iran-before-2027,2,high,"active_wallet_activity,wallet_tier_activity","active_wallets,log1p_total_observed_amount_usd",4.16589,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,"max_severity=high; max_robust_z=4.17; max_percentile=1.00; families=active_wallet_activity,wallet_tier_activity; metrics=active_wallets,log1p_total_observed_amount_usd",observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"large_trade_flow,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,large_trade_flow,Marked because the active-wallet count was above its local baseline. This is a weak cue unless it repeats or combines with amount or concentration evidence.,"Wallet amount: observed about USD 44.25; rolling baseline median about USD 17.11; percentile 1.00; robust z 4.17; severity high. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.",No concentration metric triggered for this candidate.,"Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): large_trade_flow. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","active_wallet_activity triggered watch on active_wallets; wallet_tier_activity triggered high on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,same_theme_repeated_positions",2 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_204500_759f3661e55c,2026-05-22T20:45:00Z,0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,Will the Iranian regime fall before 2027?,geopolitics,will-the-iranian-regime-fall-by-the-end-of-2026,1,high,active_wallet_activity,active_wallets,3.372454,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,max_severity=high; max_robust_z=3.37; max_percentile=1.00; families=active_wallet_activity; metrics=active_wallets,observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,insider-risk watch cue: weak or incomplete evidence,0.0,not_available,0.0,not_available,not_available,,adriancronauer_large_iran_flow_2026_05_14,0.0,,Marked because the active-wallet count was above its local baseline. This is a weak cue unless it repeats or combines with amount or concentration evidence.,No wallet-amount metric triggered for this candidate.,No concentration metric triggered for this candidate.,Reference overlap 0.0 means this candidate does not share the triggered neutral labels of the current reference profiles.,active_wallet_activity triggered high on active_wallets,1 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.00,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,low,Low-context cue: keep in registry and review only if repeated.,needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_204500_d24c162f8b73,2026-05-22T20:45:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,geopolitics,will-china-invade-taiwan-before-2027,2,high,concentration,"hhi_concentration,top_tier_share",390.693694,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,"max_severity=high; max_robust_z=390.69; max_percentile=1.00; families=concentration; metrics=hhi_concentration,top_tier_share",observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"market_concentration,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,market_concentration,"Marked because activity was concentrated in the current bucket. This can happen in thin markets, so repetition and market-page context matter.",No wallet-amount metric triggered for this candidate.,"hhi_concentration: observed 1.00, baseline median 0.21, percentile 1.00, severity high; top_tier_share: observed 1.00, baseline median 0.25, percentile 1.00, severity high","Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): market_concentration. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","concentration triggered high on hhi_concentration,top_tier_share; reference-pattern labels: market_concentration,same_theme_repeated_positions",2 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_204500_f183079f2c3f,2026-05-22T20:45:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,politics,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,2,info,concentration,"hhi_concentration,top_tier_share",0.674491,1.0,0.1735,0.8265,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,"max_severity=info; max_robust_z=0.67; max_percentile=1.00; families=concentration; metrics=hhi_concentration,top_tier_share",observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,insider-risk watch cue: weak or incomplete evidence,0.0,not_available,0.0,not_available,not_available,"market_concentration,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,market_concentration,"Marked because activity was concentrated in the current bucket. This can happen in thin markets, so repetition and market-page context matter.",No wallet-amount metric triggered for this candidate.,"hhi_concentration: observed 1.00, baseline median 0.94, percentile 1.00, severity info; top_tier_share: observed 1.00, baseline median 0.97, percentile 1.00, severity info","Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): market_concentration. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","concentration triggered info on hhi_concentration,top_tier_share; reference-pattern labels: market_concentration,same_theme_repeated_positions",2 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=0.1735-0.8265; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,medium,Check whether the same pattern repeats in the next bounded bucket.,needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_205000_5dbff64bc3b3,2026-05-22T20:50:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,geopolitics,will-the-us-invade-iran-before-2027,1,high,wallet_tier_activity,log1p_total_observed_amount_usd,4.203715,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,max_severity=high; max_robust_z=4.20; max_percentile=1.00; families=wallet_tier_activity; metrics=log1p_total_observed_amount_usd,observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"large_trade_flow,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,large_trade_flow,Marked because neutral reference-pattern labels were triggered.,"Wallet amount: observed about USD 132.37; rolling baseline median about USD 20.00; percentile 1.00; robust z 4.20; severity high. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.",No concentration metric triggered for this candidate.,"Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): large_trade_flow. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","wallet_tier_activity triggered high on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,same_theme_repeated_positions",1 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_205000_e02af5d15ac8,2026-05-22T20:50:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,geopolitics,will-china-invade-taiwan-before-2027,2,high,concentration,"hhi_concentration,top_tier_share",195.009601,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,"max_severity=high; max_robust_z=195.01; max_percentile=1.00; families=concentration; metrics=hhi_concentration,top_tier_share",observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"market_concentration,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,market_concentration,"Marked because activity was concentrated in the current bucket. This can happen in thin markets, so repetition and market-page context matter.",No wallet-amount metric triggered for this candidate.,"hhi_concentration: observed 1.00, baseline median 0.21, percentile 1.00, severity high; top_tier_share: observed 1.00, baseline median 0.28, percentile 1.00, severity high","Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): market_concentration. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","concentration triggered high on hhi_concentration,top_tier_share; reference-pattern labels: market_concentration,same_theme_repeated_positions",2 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_205500_4902be7e4cdb,2026-05-22T20:55:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,geopolitics,will-the-us-invade-iran-before-2027,3,watch,"concentration,wallet_tier_activity","hhi_concentration,log1p_total_observed_amount_usd,top_tier_share",1.200891,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,"max_severity=watch; max_robust_z=1.20; max_percentile=1.00; families=concentration,wallet_tier_activity; metrics=hhi_concentration,log1p_total_observed_amount_usd,top_tier_share",observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,insider-risk watch cue: weak or incomplete evidence,0.0,not_available,0.0,not_available,not_available,"large_trade_flow,market_concentration,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,1.0,"large_trade_flow,market_concentration","Marked because activity was concentrated in the current bucket. This can happen in thin markets, so repetition and market-page context matter.","Wallet amount: observed about USD 300.00; rolling baseline median about USD 44.25; percentile 1.00; robust z 1.20; severity watch. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.","hhi_concentration: observed 1.00, baseline median 0.83, percentile 1.00, severity watch; top_tier_share: observed 1.00, baseline median 0.91, percentile 1.00, severity watch","Reference overlap 1.0 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 2 neutral pattern label(s): large_trade_flow,market_concentration. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","concentration triggered watch on hhi_concentration,top_tier_share; wallet_tier_activity triggered watch on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,market_concentration,same_theme_repeated_positions",3 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=1.00,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,medium,Check whether the same pattern repeats in the next bounded bucket.,needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_205500_31bc7f1998f4,2026-05-22T20:55:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,geopolitics,will-china-invade-taiwan-before-2027,1,info,wallet_tier_activity,log1p_total_observed_amount_usd,1.199778,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,max_severity=info; max_robust_z=1.20; max_percentile=1.00; families=wallet_tier_activity; metrics=log1p_total_observed_amount_usd,observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,insider-risk watch cue: weak or incomplete evidence,0.0,not_available,0.0,not_available,not_available,"large_trade_flow,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,large_trade_flow,Marked because neutral reference-pattern labels were triggered.,"Wallet amount: observed about USD 101.16; rolling baseline median about USD 45.59; percentile 1.00; robust z 1.20; severity info. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.",No concentration metric triggered for this candidate.,"Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): large_trade_flow. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","wallet_tier_activity triggered info on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,same_theme_repeated_positions",1 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,medium,Check whether the same pattern repeats in the next bounded bucket.,needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_210000_b265c77e872d,2026-05-22T21:00:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,geopolitics,will-the-us-invade-iran-before-2027,1,high,wallet_tier_activity,log1p_total_observed_amount_usd,3.325374,1.0,,,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,max_severity=high; max_robust_z=3.33; max_percentile=1.00; families=wallet_tier_activity; metrics=log1p_total_observed_amount_usd,observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"large_trade_flow,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,large_trade_flow,Marked because neutral reference-pattern labels were triggered.,"Wallet amount: observed about USD 7376.77; rolling baseline median about USD 132.37; percentile 1.00; robust z 3.33; severity high. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.",No concentration metric triggered for this candidate.,"Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): large_trade_flow. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","wallet_tier_activity triggered high on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,same_theme_repeated_positions",1 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=-; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
monitor_candidate_20260522_210500_83136b9f5cbb,2026-05-22T21:05:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,politics,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,1,high,wallet_tier_activity,log1p_total_observed_amount_usd,62.137131,1.0,0.1735,0.8265,0,0,0.0,0.0,0.0,below_one_percent_of_reference,103248.0,0.0,max_severity=high; max_robust_z=62.14; max_percentile=1.00; families=wallet_tier_activity; metrics=log1p_total_observed_amount_usd,observed_amount_usd=0.00; active_wallets=0; trade_count=0; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,observed_amount_usd=0.00; reference_case=adriancronauer_large_iran_flow_2026_05_14; reference_amount_usd=103248.00; reference_amount_ratio=0.000000; materiality_label=below_one_percent_of_reference,single_wallet_single_trade,coordination_label=single_wallet_single_trade; active_wallets=0; trade_count=0; total_amount_usd=0.00; amount_per_wallet_usd=0.00; amount_per_trade_usd=0.00,"insider-risk review candidate: relative anomaly, low materiality",0.0,not_available,0.0,not_available,not_available,"large_trade_flow,same_theme_repeated_positions",adriancronauer_large_iran_flow_2026_05_14,0.5,large_trade_flow,Marked because neutral reference-pattern labels were triggered.,"Wallet amount: observed about USD 52.15; rolling baseline median about USD 0.05; percentile 1.00; robust z 62.14; severity high. The very high robust z can be inflated when the recent baseline is tiny, so absolute size must be checked manually.",No concentration metric triggered for this candidate.,"Reference overlap 0.5 against adriancronauer_large_iran_flow_2026_05_14 means the candidate shares 1 neutral pattern label(s): large_trade_flow. It does not mean same wallet, same amount, same event, same outcome, or misconduct; it is only a review shortcut. The observed amount is 0.000% of the reference amount USD 103248.00.","wallet_tier_activity triggered high on log1p_total_observed_amount_usd; reference-pattern labels: large_trade_flow,same_theme_repeated_positions",1 non-none monitor rows; active_wallets=0; trade_count=0; observed_amount_usd=0.00; midpoint_range=0.1735-0.8265; reference_similarity=0.50,manual Polymarket market page review; independent news/event timestamp check; repeat-bucket confirmation; directional position or exit data; trade-size context against longer rolling volume; reviewed event candidate mapping,high,"Open the market page, verify current context, and collect another bounded bucket before any thesis-facing use.",needs_human_review,"Insider-risk review candidate for human review only; not proof, not a computed insider label, not a causal claim, and not a trading signal.","Uses aggregate local monitor artifacts only and contains no wallet addresses, order instructions, PnL, or claim of misconduct.",monitor_v2_polymarket_rolling_alert_rows.csv;monitor_reference_candidate_similarity_summary.csv;monitor_v2_polymarket_live_watchlist.csv
