candidate_id,timestamp_utc,market_id,question,score_family,feature_name,feature_value,feature_status,feature_weight,weighted_value,evidence_ref,limitation
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,wallet,new_wallet_penalty,,unavailable,2.0,0.0,wallet-first-seen data unavailable,"Requires per-wallet age from longer local history, Dune, or Polygonscan."
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,wallet,volume_spike_ratio,0.55,computed_proxy,1.5,0.825,wallet amount rolling percentile proxy,"Aggregate bucket proxy, not per-wallet volume history."
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,wallet,timing_proximity_to_reviewed_event_or_resolution,,unavailable,2.5,0.0,reviewed event or resolution proximity,Unavailable until a candidate has reviewed event/resolution context.
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,wallet,cluster_correlation_proxy,0.35,computed_proxy,1.8,0.63,coordination_label=few_wallet_or_trade_context,Aggregate coordination proxy; not a funding graph or identity cluster.
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,market,new_wallet_ratio,,unavailable,1.0,0.0,new-wallet volume share unavailable,Requires per-wallet volume and first-seen metadata.
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,market,price_velocity,0.07,computed_proxy,1.0,0.07,CLOB midpoint bucket-to-bucket absolute token change,Uses public midpoint snapshots; not an order-book impact model.
monitor_candidate_20260523_192500_71cd3b4e784b,2026-05-23T19:25:00Z,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,Will the U.S. invade Iran before 2027?,market,volume_concentration,0.927962,computed_proxy,1.0,0.927962,"max(top_tier_share, hhi_concentration)",Uses aggregate Data API activity; no top-5 wallet table is exposed.
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,wallet,new_wallet_penalty,,unavailable,2.0,0.0,wallet-first-seen data unavailable,"Requires per-wallet age from longer local history, Dune, or Polygonscan."
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,wallet,volume_spike_ratio,0.4,computed_proxy,1.5,0.6,wallet amount rolling percentile proxy,"Aggregate bucket proxy, not per-wallet volume history."
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,wallet,timing_proximity_to_reviewed_event_or_resolution,,unavailable,2.5,0.0,reviewed event or resolution proximity,Unavailable until a candidate has reviewed event/resolution context.
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,wallet,cluster_correlation_proxy,0.0,computed_proxy,1.8,0.0,coordination_label=single_wallet_single_trade,Aggregate coordination proxy; not a funding graph or identity cluster.
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,market,new_wallet_ratio,,unavailable,1.0,0.0,new-wallet volume share unavailable,Requires per-wallet volume and first-seen metadata.
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,market,price_velocity,0.002,computed_proxy,1.0,0.002,CLOB midpoint bucket-to-bucket absolute token change,Uses public midpoint snapshots; not an order-book impact model.
monitor_candidate_20260523_192500_2bb6f8fa6250,2026-05-23T19:25:00Z,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,Will China invade Taiwan by end of 2026?,market,volume_concentration,1.0,computed_proxy,1.0,1.0,"max(top_tier_share, hhi_concentration)",Uses aggregate Data API activity; no top-5 wallet table is exposed.
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,wallet,new_wallet_penalty,,unavailable,2.0,0.0,wallet-first-seen data unavailable,"Requires per-wallet age from longer local history, Dune, or Polygonscan."
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,wallet,volume_spike_ratio,0.95,computed_proxy,1.5,1.425,wallet amount rolling percentile proxy,"Aggregate bucket proxy, not per-wallet volume history."
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,wallet,timing_proximity_to_reviewed_event_or_resolution,,unavailable,2.5,0.0,reviewed event or resolution proximity,Unavailable until a candidate has reviewed event/resolution context.
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,wallet,cluster_correlation_proxy,0.0,computed_proxy,1.8,0.0,coordination_label=single_wallet_single_trade,Aggregate coordination proxy; not a funding graph or identity cluster.
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,market,new_wallet_ratio,,unavailable,1.0,0.0,new-wallet volume share unavailable,Requires per-wallet volume and first-seen metadata.
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,market,price_velocity,0.0,computed_proxy,1.0,0.0,CLOB midpoint bucket-to-bucket absolute token change,Uses public midpoint snapshots; not an order-book impact model.
monitor_candidate_20260523_192500_c6370fa4e8c9,2026-05-23T19:25:00Z,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,market,volume_concentration,1.0,computed_proxy,1.0,1.0,"max(top_tier_share, hhi_concentration)",Uses aggregate Data API activity; no top-5 wallet table is exposed.
