case_id,case_type,pattern_label,feature_status,fact_source,reason,evidence_status,claim_scope,requires_human_review
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,large_trade_flow,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,market_concentration,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,event_proximity,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,fresh_wallet_or_short_history,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,cluster_link_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,shared_funding_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,high_reported_win_rate,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_71cd3b4e784b,monitor_alert_candidate,same_theme_repeated_positions,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,large_trade_flow,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,market_concentration,triggered,computed,monitor concentration metric produced a non-none severity row,pattern_computed,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,event_proximity,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,fresh_wallet_or_short_history,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,cluster_link_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,shared_funding_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,high_reported_win_rate,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_2bb6f8fa6250,monitor_alert_candidate,same_theme_repeated_positions,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,large_trade_flow,triggered,computed,monitor wallet-tier amount metric produced a non-none severity row,pattern_computed,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,market_concentration,triggered,computed,monitor concentration metric produced a non-none severity row,pattern_computed,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,event_proximity,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,fresh_wallet_or_short_history,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,cluster_link_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,shared_funding_reported,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,high_reported_win_rate,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
monitor_candidate_20260523_192500_c6370fa4e8c9,monitor_alert_candidate,same_theme_repeated_positions,unknown,unknown,source data unavailable in current monitor alert rows,candidate,monitor_reference_candidate_only,True
