candidate_id,candidate_type,reference_case_id,reference_case_type,similarity_score,matched_pattern_count,reference_pattern_count,candidate_pattern_count,matched_patterns,missing_reference_patterns,extra_candidate_patterns,match_label,claim_scope,requires_human_review,allowed_interpretation,limitation
monitor_candidate_20260522_204500_759f3661e55c,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.0,0,2,0,,"large_trade_flow,market_concentration",,no_reference_overlap,reference_pattern_similarity_only,True,No triggered reference labels overlap in the current feature set.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_759f3661e55c,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.0,0,6,0,,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,same_theme_repeated_positions,shared_funding_reported",,no_reference_overlap,reference_pattern_similarity_only,True,No triggered reference labels overlap in the current feature set.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_d24c162f8b73,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_d24c162f8b73,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_e24668f3f71b,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_e24668f3f71b,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_f183079f2c3f,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_204500_f183079f2c3f,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_5dbff64bc3b3,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_5dbff64bc3b3,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_e02af5d15ac8,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205000_e02af5d15ac8,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_31bc7f1998f4,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_31bc7f1998f4,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_4902be7e4cdb,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,1.0,2,2,3,"large_trade_flow,market_concentration",,same_theme_repeated_positions,complete_reference_overlap,reference_pattern_similarity_only,True,Candidate shares all triggered labels of the reference case; review evidence before use.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_205500_4902be7e4cdb,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,3,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210000_b265c77e872d,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210000_b265c77e872d,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210500_83136b9f5cbb,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_210500_83136b9f5cbb,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211000_9c25d1497516,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211000_9c25d1497516,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211500_40799b054be7,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_211500_40799b054be7,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_24b874775afe,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_24b874775afe,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.166667,1,6,2,same_theme_repeated_positions,"cluster_link_reported,event_proximity,high_reported_win_rate,market_concentration,shared_funding_reported",large_trade_flow,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_a8030671b168,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,market_concentration,large_trade_flow,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_212000_a8030671b168,monitor_alert_candidate,iran_cluster_2026_bubblemaps_reported,reported_cluster,0.333333,2,6,2,"market_concentration,same_theme_repeated_positions","cluster_link_reported,event_proximity,high_reported_win_rate,shared_funding_reported",,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
monitor_candidate_20260522_214500_9a6abaddeae0,monitor_alert_candidate,adriancronauer_large_iran_flow_2026_05_14,large_flow_reference,0.5,1,2,2,large_trade_flow,market_concentration,same_theme_repeated_positions,partial_reference_overlap,reference_pattern_similarity_only,True,Candidate shares some neutral labels with the reference case; use as a review cue only.,Equal-weight label overlap from curated reference-pattern features; not a probability or misconduct finding.
