event_id,event_date,proximity_date,relative_day,market_id,max_existing_severity,watch_or_high_rows,high_rows,market_watch_at_timestamp,wallet_or_concentration_watch_at_timestamp,same_day_critical_candidate,proximity_critical_candidate,event_watch_candidate,suggested_context_label
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-29,-1,polymarket_2024_us_presidential_replay,high,2,1,True,True,False,True,False,critical_proximity_candidate
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,polymarket_2024_us_presidential_replay,info,0,0,False,False,False,False,False,no_event_alert
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,polymarket_2024_us_presidential_replay,high,1,1,True,False,False,False,False,context_alert
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,polymarket_2024_us_presidential_replay,none,0,0,False,False,False,False,False,no_event_alert
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,polymarket_2024_us_presidential_replay,high,6,1,False,True,False,False,True,event_watch_candidate
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-29,1,polymarket_2024_us_presidential_replay,none,0,0,False,False,False,False,False,no_event_alert
evt_2024_07_13_trump_shooting,2024-07-13,2024-07-12,-1,polymarket_2024_us_presidential_replay,watch,2,0,True,True,False,True,False,critical_proximity_candidate
evt_2024_07_13_trump_shooting,2024-07-13,2024-07-13,0,polymarket_2024_us_presidential_replay,info,0,0,False,False,False,False,False,no_event_alert
evt_2024_07_13_trump_shooting,2024-07-13,2024-07-14,1,polymarket_2024_us_presidential_replay,high,3,1,True,True,False,True,False,critical_proximity_candidate
evt_2024_07_15_vance_vp_pick,2024-07-15,2024-07-14,-1,polymarket_2024_us_presidential_replay,high,3,1,True,True,False,True,False,critical_proximity_candidate
evt_2024_07_15_vance_vp_pick,2024-07-15,2024-07-15,0,polymarket_2024_us_presidential_replay,watch,3,0,False,True,False,False,True,event_watch_candidate
evt_2024_07_15_vance_vp_pick,2024-07-15,2024-07-16,1,polymarket_2024_us_presidential_replay,info,0,0,False,False,False,False,False,no_event_alert
evt_2024_07_21_biden_withdrawal,2024-07-21,2024-07-20,-1,polymarket_2024_us_presidential_replay,info,0,0,False,False,False,False,False,no_event_alert
evt_2024_07_21_biden_withdrawal,2024-07-21,2024-07-21,0,polymarket_2024_us_presidential_replay,high,7,4,False,True,False,False,True,event_watch_candidate
evt_2024_07_21_biden_withdrawal,2024-07-21,2024-07-22,1,polymarket_2024_us_presidential_replay,high,8,3,False,True,False,False,True,event_watch_candidate
evt_2024_08_06_walz_vp_pick,2024-08-06,2024-08-05,-1,polymarket_2024_us_presidential_replay,watch,3,0,True,True,False,True,False,critical_proximity_candidate
evt_2024_08_06_walz_vp_pick,2024-08-06,2024-08-06,0,polymarket_2024_us_presidential_replay,high,3,1,False,True,False,False,True,event_watch_candidate
evt_2024_08_06_walz_vp_pick,2024-08-06,2024-08-07,1,polymarket_2024_us_presidential_replay,none,0,0,False,False,False,False,False,no_event_alert
evt_2024_09_11_harris_trump_debate,2024-09-11,2024-09-10,-1,polymarket_2024_us_presidential_replay,info,0,0,False,False,False,False,False,no_event_alert
evt_2024_09_11_harris_trump_debate,2024-09-11,2024-09-11,0,polymarket_2024_us_presidential_replay,high,5,3,False,True,False,False,True,event_watch_candidate
evt_2024_09_11_harris_trump_debate,2024-09-11,2024-09-12,1,polymarket_2024_us_presidential_replay,high,3,1,True,True,False,True,False,critical_proximity_candidate
