timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2024-01-06T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.0,last_30_completed_observations,0,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-07T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.486757035192599,last_30_completed_observations,1,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-08T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.1337607613332018,last_30_completed_observations,2,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-09T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.28192044502518104,last_30_completed_observations,3,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-10T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.24467114368395282,last_30_completed_observations,4,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-11T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.9276742314208118,last_30_completed_observations,5,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-12T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.30627757323093446,last_30_completed_observations,6,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-13T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.334317849367,last_30_completed_observations,7,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-14T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8049651670503724,last_30_completed_observations,8,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-15T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5396413097607516,last_30_completed_observations,9,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-01-16T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8033067010817148,last_30_completed_observations,10,,,,,none,insufficient_baseline,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
