collector_received_at_utc,source_timestamp_utc,bucket_start_utc,bucket_end_utc,timestamp_source,bucket_status,source_class,source_name,watch_id,market_id,condition_id,token_ids,question,category,subcategory,status
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,567621,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,"94559586571241563470235664821564670251180951772614764383113614156422396181162,90772332434487149264114862115632028379978765245278600275169585501290867536237",Will China invade Taiwan by end of 2026?,geopolitics,will-china-invade-taiwan-before-2027,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,665374,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,"55115078421062885512539156303747803058407616201213034911037320915726138659123,1910830010387565971650098373488592514702818137344973088263643820608151819241",Will the U.S. invade Iran before 2027?,geopolitics,will-the-us-invade-iran-before-2027,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,663583,0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,0xbb4d51e6364066d92eb6f9b8413dd7193de70966736044463b205834805a1f3b,"10991849228756847439673778874175365458450913336396982752046655649803657501964,106181075047366745139197108801635573283215248045056329679360376976893016488727",Will the Iranian regime fall before 2027?,geopolitics,will-the-iranian-regime-fall-by-the-end-of-2026,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,560317,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,"350977769852917329387037893294763093471844346281449484439085576212613048126,87073899845581463485186346288398658568334162612963837182986759797304993556208",Putin out as President of Russia by December 31 2026?,geopolitics,putin-out-before-2027,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,567689,0x51f624dbbf14f9edb575fef1be6f7a303751de70783fa144fce27b957452c803,0x51f624dbbf14f9edb575fef1be6f7a303751de70783fa144fce27b957452c803,"108187737663325442737199857734058032845728149267925579081973309839049299838520,12238337804021350373072513606997115174826680613156170611182546081135779794915",Zelenskyy out as Ukraine president by end of 2026?,geopolitics,zelenskyy-out-as-ukraine-president-before-2027,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,665224,0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415,0x4167e22670f31e5f93d132f78108f3fae809bd15cadf78983eff096845ed1415,"93579588306754356558129639371052358607099327699211232141859164590129536814208,50854871681873904159181209043129993931106057788784391855429428220428495613305",Ukraine signs peace deal with Russia before 2027?,geopolitics,ukraine-signs-peace-deal-with-russia-before-2027,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,565064,0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,0x0a99479228e93524b25676ae69b94bd3f4278a6bca8d8c265c84d24755399cf5,"67109747366255871599717338045111308888043498275177238365560740200996017915657,103845791232328975452762372781150730610824357544180691092497335946993481308222",Will the Republicans win the 2028 US Presidential Election?,politics,will-the-republicans-win-the-2028-us-presidential-election,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,562802,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,0xd5d9fc47718bd553592d126b1fa5e87183d27f3936975b0c04cc0f2dec1f1bb4,"83247781037352156539108067944461291821683755894607244160607042790356561625563,33156410999665902694791064431724433042010245771106314074312009703157423879038",Will the Democratic Party control the House after the 2026 Midterm elections?,politics,will-the-democratic-party-control-the-house-after-the-2026-midterm-elections,active
2026-05-23T19:29:51Z,,2026-05-23T19:20:00Z,2026-05-23T19:25:00Z,collector,closed,market_discovery,polymarket_curated_watchlist,562803,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,0x4e4f77e7dbf4cab666e9a1943674d7ae66348e862df03ea6f44b11eb95731928,"65139230827417363158752884968303867495725894165574887635816574090175320800482,17371217118862125782438074585166210555214661810823929795910191856905580975576",Will the Republican Party control the House after the 2026 Midterm elections?,politics,will-the-republican-party-control-the-house-after-the-2026-midterm-elections,active
2026-08-28T04:30:41Z,,2026-08-28T04:25:00Z,2026-08-28T04:30:00Z,collector,closed,market_discovery,polymarket_gamma_markets,559651,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,0xa467b14d51f01b957109d9cbb1d6c124fab2a089d52ed8f471d23c2812e743b7,"32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962",Xi Jinping out before 2027?,politics,xi-jinping-out-before-2027,active
2026-08-28T04:30:41Z,,2026-08-28T04:25:00Z,2026-08-28T04:30:00Z,collector,closed,market_discovery,polymarket_gamma_markets,559652,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,"54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687",Will Gavin Newsom win the 2028 Democratic presidential nomination?,politics,will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,active
2026-08-28T04:30:41Z,,2026-08-28T04:25:00Z,2026-08-28T04:30:00Z,collector,closed,market_discovery,polymarket_gamma_markets,559653,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,"107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527",Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,politics,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,active
2026-08-28T04:30:41Z,,2026-08-28T04:25:00Z,2026-08-28T04:30:00Z,collector,closed,market_discovery,polymarket_gamma_markets,559654,0x4c325469d9b516ef4e6b8f73a81a12607dec075e3c2fd454f91765aaeafc4760,0x4c325469d9b516ef4e6b8f73a81a12607dec075e3c2fd454f91765aaeafc4760,"91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948",Will Pete Buttigieg win the 2028 Democratic presidential nomination?,politics,will-pete-buttigieg-win-the-2028-democratic-presidential-nomination-687,active
2026-08-28T04:30:41Z,,2026-08-28T04:25:00Z,2026-08-28T04:30:00Z,collector,closed,market_discovery,polymarket_gamma_markets,559655,0xd65891729ce093cc12236856837eba1a0872fc7998fd4294c21346f7db68079c,0xd65891729ce093cc12236856837eba1a0872fc7998fd4294c21346f7db68079c,"71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987",Will Josh Shapiro win the 2028 Democratic presidential nomination?,politics,will-josh-shapiro-win-the-2028-democratic-presidential-nomination-977,active
