collected_at_utc,source_name,market_id,condition_id,timestamp_utc,proxy_wallet,side,usdc_size,price,outcome,transaction_hash,name,pseudonym,title,slug,event_slug,claim_scope
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,0xe6bcc2f1dd025ce5e1833190f7c60a71171c94f805df55b9ab0ded695ec93565,2026-05-26T08:51:24Z,0xa9f27fb372379767f4fce8da9a84bcfd1cb7bb52,SELL,0.891,0.09,Yes,0x1a8b9381733d8c7155da6944691bb0da13a7cb07b67a24dd567ac675eca031a0,,,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,will-alexandria-ocasio-cortez-win-the-2028-democratic-presidential-nomination-653,democratic-presidential-nominee-2028,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,0x5db999fad322cea2914535aae5517060c3f80ad6d8c0231cde2124a434d16846,2026-05-26T08:51:29Z,0xad42e33b119a8a3458e13865e37f721a5dbc9b0e,SELL,0.1701,0.81,No,0x38c6ef08e8459fc0a191e190ff0244309d71244472d3184a418147618d20b05d,0xAd42E33b119A8A3458e13865e37F721a5dBc9b0E-1779184873159,Hospitable-Ebook,Will the U.S. invade Iran before 2027?,will-the-us-invade-iran-before-2027,will-the-us-invade-iran-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2026-05-26T08:51:29Z,0xe3ef95079980905d23e98235072e6beabc50960b,SELL,6.65448,0.932,No,0xf993c24276e56068f8edf96c0908a8630983cc26f9f9bc8d7372c5e37ff8ebc2,,,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,will-china-invade-taiwan-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2026-05-26T08:51:31Z,0x7b5295d8542437894e184cdabf1c7ebfc03706a1,SELL,7.3162,0.932,No,0xf9956534f81667a3149ee9f98a1eded9fd04d5222583c83ab0a92e2cca402194,,,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,will-china-invade-taiwan-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,0x0f49db97f71c68b1e42a6d16e3de93d85dbf7d4148e3f018eb79e88554be9f75,2026-05-26T08:51:33Z,0xa9f27fb372379767f4fce8da9a84bcfd1cb7bb52,SELL,0.968,0.242,Yes,0x64b871309532def5be9a1e094199a8b0765dab5271d8213a54ba3f0c66500507,,,Will Gavin Newsom win the 2028 Democratic presidential nomination?,will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,democratic-presidential-nominee-2028,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,2026-05-26T08:52:08Z,0xa5a89ffec95e08d25e4427dcf38bd56bb76d4dfa,BUY,61.999998,0.909999985762903,No,0x1731c225a3e3b32e63dc6f1c3682de4f3ed97358d057736ace4ebd4d540dc4db,PatrickSUPmelinda,Costly-Scope,"Putin out as President of Russia by December 31, 2026?",putin-out-before-2027,putin-out-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,0x6bd56627aa21311850825edb27e53434a0e17a4f782be0086bc07f71eee00d0d,2026-05-26T08:53:07Z,0xbfd16fe0c7d8278d61aac59f91936f83674a9813,SELL,2.9970000000000003,0.9,No,0x7ef83b2b03f6c1c0e7820305492c95ba5685d4853550b41a68a158d2580bb965,kenisaige,Violent-Competence,"Putin out as President of Russia by December 31, 2026?",putin-out-before-2027,putin-out-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2026-05-26T08:53:32Z,0x63cc40081ebb2b5563bd2949816169d720f8eec5,BUY,24.749998,0.9329999664496955,No,0xa0a608bba5733506612b4047469f8d6a80fcea4c39a8a4e0dd2fca1d9b176357,0x63-1773286871210,Sunny-Course,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,will-china-invade-taiwan-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2026-05-26T08:56:57Z,0x408c18173600b57e3131bc7ab710cf8aea215eff,BUY,8.119997999999999,0.9329999045168582,No,0x33e20355eb3739f4b27bbcb80a441b8dbda968f9ad586f0116b83e7cae44c2ea,,,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,will-china-invade-taiwan-before-2027,public_polymarket_wallet_activity_forensic_review
2026-05-26T14:04:29Z,polymarket_live_data_api_public_activity,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,0xd9fb1184af0064e5e34b129f5b79afa5a17b7e32f2953ab05efed82315fee6d4,2026-05-26T08:56:58Z,0xee2faf22a81f0dc12be8080a0e9507fb2190f4da,BUY,7.9199980000000005,0.9329999820939352,No,0x18ff8eee79fd40507be657052e20049e1a8adfc659993cec5e696688a9fca30c,,,Will China invade Taiwan by end of 2026?,will-china-invade-taiwan-before-2027,will-china-invade-taiwan-before-2027,public_polymarket_wallet_activity_forensic_review
