scenario_id,anomaly_family,metric_name,tier,row_count,alert_count,ok_count,zero_mad_count,insufficient_baseline_count,shadow_percentile_ge_95_count,max_robust_z,max_percentile_rank
default_rule_c_30_20,active_wallet_activity,active_wallets,all_tiers,63,0,0,3,60,0,,0.8
default_rule_c_30_20,concentration,hhi_concentration,all_tiers,63,0,0,3,60,0,,0.8
default_rule_c_30_20,concentration,top_tier_share,all_tiers,63,0,0,3,60,0,,0.8
default_rule_c_30_20,market_move,absolute_midpoint_change,market,120,0,0,60,60,60,,1.0
default_rule_c_30_20,wallet_tier_activity,log1p_total_observed_amount_usd,all_tiers,63,0,0,3,60,0,,0.8
diagnostic_rule_c_30_10,active_wallet_activity,active_wallets,all_tiers,63,0,0,33,30,8,,1.0
diagnostic_rule_c_30_10,concentration,hhi_concentration,all_tiers,63,0,0,33,30,12,,1.0
diagnostic_rule_c_30_10,concentration,top_tier_share,all_tiers,63,0,0,33,30,12,,1.0
diagnostic_rule_c_30_10,market_move,absolute_midpoint_change,market,120,0,0,90,30,90,,1.0
diagnostic_rule_c_30_10,wallet_tier_activity,log1p_total_observed_amount_usd,all_tiers,63,0,0,33,30,2,,1.0
diagnostic_rule_c_10_5,active_wallet_activity,active_wallets,all_tiers,63,1,1,47,15,15,0.6744907594765952,1.0
diagnostic_rule_c_10_5,concentration,hhi_concentration,all_tiers,63,1,1,47,15,17,0.6744907594765952,1.0
diagnostic_rule_c_10_5,concentration,top_tier_share,all_tiers,63,1,1,47,15,17,0.6744907594765952,1.0
diagnostic_rule_c_10_5,market_move,absolute_midpoint_change,market,120,0,0,105,15,105,,1.0
diagnostic_rule_c_10_5,wallet_tier_activity,log1p_total_observed_amount_usd,all_tiers,63,0,7,41,15,6,0.7905479012905697,1.0
diagnostic_rule_c_5_3,active_wallet_activity,active_wallets,all_tiers,63,0,0,54,9,21,,1.0
diagnostic_rule_c_5_3,concentration,hhi_concentration,all_tiers,63,0,0,54,9,22,,1.0
diagnostic_rule_c_5_3,concentration,top_tier_share,all_tiers,63,0,0,54,9,22,,1.0
diagnostic_rule_c_5_3,market_move,absolute_midpoint_change,market,120,0,0,111,9,111,,1.0
diagnostic_rule_c_5_3,wallet_tier_activity,log1p_total_observed_amount_usd,all_tiers,63,0,11,43,9,13,0.06717085888379883,1.0
