timestamp_utc,minuten_nach_drop,seite,outcome,preis,stueckzahl,usd
2025-10-16T02:05:13Z,5.2,BUY,Yes,0.8,30.0,24.0
2025-10-16T02:06:47Z,6.8,BUY,Yes,0.8438472645596021,124.66,105.19
2025-10-16T02:07:09Z,7.2,BUY,Yes,0.97,40.0,38.8
2025-10-16T02:13:05Z,13.1,BUY,No,0.01,100.0,1.0
2025-10-16T02:49:19Z,49.3,BUY,No,0.01,100.0,1.0
2025-10-16T02:59:23Z,59.4,BUY,No,0.99,100.0,99.0
2025-10-16T03:04:53Z,64.9,SELL,Yes,0.001,2.65,0.0
2025-10-16T03:13:49Z,73.8,BUY,Yes,0.99,1.0101,1.0
2025-10-16T04:39:37Z,159.6,BUY,Yes,0.95,46.55788,44.23
2025-10-16T04:42:45Z,162.8,BUY,Yes,0.95,100.0,95.0
2025-10-16T04:43:03Z,163.1,BUY,Yes,0.95,2.10526,2.0
2025-10-16T04:43:07Z,163.1,BUY,Yes,0.95,10.0,9.5
2025-10-16T04:43:55Z,163.9,BUY,Yes,0.99,498.98,493.99
2025-10-16T04:44:41Z,164.7,BUY,Yes,0.999,500.0,499.5
2025-10-16T05:28:49Z,208.8,BUY,Yes,0.998,1935.2905,1931.42
2025-10-16T06:04:05Z,244.1,BUY,Yes,0.998,13064.7,13038.57
2025-10-16T06:06:31Z,246.5,BUY,Yes,0.998,2000.0,1996.0
2025-10-16T06:16:01Z,256.0,BUY,Yes,0.998,1000.0,998.0
2025-10-16T06:17:57Z,257.9,BUY,No,0.002,600.0,1.2
2025-10-16T06:19:45Z,259.8,BUY,No,0.002,1000.0,2.0
2025-10-16T06:21:47Z,261.8,SELL,Yes,0.998,10.0,9.98
2025-10-16T06:22:25Z,262.4,BUY,No,0.002,500.0,1.0
2025-10-16T06:25:31Z,265.5,BUY,Yes,0.999,3204.75,3201.55
2025-10-16T06:32:45Z,272.8,SELL,No,0.002,1000.0,2.0
2025-10-16T06:37:29Z,277.5,BUY,Yes,0.998,200.0,199.6
2025-10-16T06:40:13Z,280.2,BUY,Yes,0.998,200.0,199.6
2025-10-16T06:41:51Z,281.9,BUY,No,0.1,100.0,10.0
2025-10-16T06:42:07Z,282.1,SELL,Yes,0.9,500.0,450.0
2025-10-16T06:52:01Z,292.0,BUY,Yes,0.9979999079843901,10.020039,10.0
2025-10-16T07:36:19Z,336.3,SELL,No,0.021,500.0,10.5
2025-10-16T08:25:29Z,385.5,BUY,Yes,0.99,440.0,435.6
2025-10-16T08:55:41Z,415.7,SELL,Yes,0.51,5.0,2.55
2025-10-16T09:58:53Z,478.9,SELL,Yes,0.513,5.0,2.56
2025-10-16T10:34:37Z,514.6,BUY,No,0.486,389.0,189.05
2025-10-16T12:06:25Z,606.4,BUY,Yes,0.91,130.0,118.3
2025-10-16T12:17:07Z,617.1,BUY,No,0.299999996137339,155.333332,46.6
2025-10-16T12:25:47Z,625.8,BUY,Yes,0.9698,200.0,193.96
2025-10-16T12:31:33Z,631.5,BUY,No,0.08,100.0,8.0
2025-10-16T12:37:23Z,637.4,BUY,Yes,0.975,205.0,199.88
2025-10-16T12:47:51Z,647.9,BUY,Yes,0.975,5.0,4.88
2025-10-16T13:03:43Z,663.7,BUY,No,0.08,12.5,1.0
2025-10-16T13:25:15Z,685.2,BUY,No,0.09253,100.0,9.25
2025-10-16T14:04:13Z,724.2,SELL,No,0.054361370716510905,321.0,17.45
2025-10-16T14:04:21Z,724.4,BUY,Yes,0.9589999992327988,5.213756,5.0
2025-10-16T14:34:37Z,754.6,BUY,No,0.078,100.0,7.8
2025-10-16T14:35:07Z,755.1,BUY,Yes,0.956999990429981,2.08986,2.0
2025-10-16T14:38:49Z,758.8,BUY,No,0.078,50.0,3.9
2025-10-16T14:49:59Z,770.0,SELL,No,0.047,100.0,4.7
2025-10-16T15:34:41Z,814.7,BUY,Yes,0.96,100.0,96.0
2025-10-16T15:48:31Z,828.5,BUY,Yes,0.966,100.0,96.6
2025-10-16T16:16:31Z,856.5,BUY,No,0.047,21.3,1.0
2025-10-16T16:49:29Z,889.5,BUY,Yes,0.9679999922557987,1.033031,1.0
2025-10-16T16:51:53Z,891.9,BUY,No,0.047,1000.0,47.0
2025-10-16T17:07:25Z,907.4,BUY,Yes,0.9679999922557987,1.033031,1.0
2025-10-16T17:10:19Z,910.3,BUY,Yes,0.9679999922557987,1.033031,1.0
2025-10-16T17:25:47Z,925.8,BUY,Yes,0.966,5.0,4.83
2025-10-16T17:25:51Z,925.9,SELL,No,0.035,5.0,0.18
2025-10-16T17:26:11Z,926.2,BUY,No,0.045,230.0,10.35
2025-10-16T17:30:55Z,930.9,SELL,No,0.035,40.0,1.4
2025-10-16T17:37:25Z,937.4,BUY,Yes,0.964,12.0,11.57
2025-10-16T17:55:59Z,956.0,SELL,No,0.026732896890343697,427.7,11.43
2025-10-16T17:56:35Z,956.6,BUY,Yes,0.975,22.33844,21.78
2025-10-16T17:58:43Z,958.7,BUY,Yes,0.9756055906574285,278.493687,271.7
