comparison_id,comparison_status,collected_at_utc,polymarket_yes_probability,polymarket_no_probability,poll_id,poll_source,poll_published_at_utc,poll_age_hours,poll_yes_share,poll_no_share,poll_undecided_share,poll_yes_decided_share,raw_yes_gap,decided_yes_gap,divergence_label,poll_proxy_valuation_label,valuation_scope
cmp_20260608T140653Z,matched_latest_prior_poll,2026-06-08T14:06:53Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,130.198,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T141311Z,matched_latest_prior_poll,2026-06-08T14:13:11Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,130.303,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T142229Z,matched_latest_prior_poll,2026-06-08T14:22:29Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,130.458,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T143606Z,matched_latest_prior_poll,2026-06-08T14:36:06Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,130.685,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T144451Z,matched_latest_prior_poll,2026-06-08T14:44:51Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,130.831,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T145642Z,matched_latest_prior_poll,2026-06-08T14:56:42Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,131.028,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T150409Z,matched_latest_prior_poll,2026-06-08T15:04:09Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,131.153,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T150928Z,matched_latest_prior_poll,2026-06-08T15:09:28Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,131.241,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T151518Z,matched_latest_prior_poll,2026-06-08T15:15:18Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,131.338,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T152340Z,matched_latest_prior_poll,2026-06-08T15:23:40Z,0.225,0.775,srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,131.478,0.45,0.52,0.03,0.4639175257731959,-0.225,-0.2389175257731959,polymarket_below_poll_yes_share,below_poll_proxy,descriptive_poll_proxy_not_true_mispricing_or_trade_signal
