observation_id,observation_source,observed_at_utc,matched_poll_id,matched_poll_source,polymarket_yes_probability,poll_yes_share,poll_yes_decided_share,official_yes_share,official_outcome,official_market_yes_outcome,polymarket_vote_share_signed_error,polymarket_vote_share_abs_error,poll_raw_vote_share_abs_error,poll_decided_vote_share_abs_error,polymarket_binary_brier,poll_raw_binary_brier_proxy,poll_decided_binary_brier_proxy,polymarket_beats_poll_raw_vote_share,polymarket_beats_poll_decided_vote_share,polymarket_beats_poll_raw_binary_proxy,polymarket_beats_poll_decided_binary_proxy,vote_share_accuracy_label,binary_proxy_accuracy_label,interpretation_scope
cmp_20260608T140653Z,live_snapshot,2026-06-08T14:06:53Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T141311Z,live_snapshot,2026-06-08T14:13:11Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T142229Z,live_snapshot,2026-06-08T14:22:29Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T143606Z,live_snapshot,2026-06-08T14:36:06Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T144451Z,live_snapshot,2026-06-08T14:44:51Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T145642Z,live_snapshot,2026-06-08T14:56:42Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T150409Z,live_snapshot,2026-06-08T15:04:09Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T150928Z,live_snapshot,2026-06-08T15:09:28Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T151518Z,live_snapshot,2026-06-08T15:15:18Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
cmp_20260608T152340Z,live_snapshot,2026-06-08T15:23:40Z,srg_gfs_bern_2026_w2,SRG/gfs.bern,0.225,0.45,0.4639175257731959,0.4521,rejected,0.0,-0.2271,0.2271,0.0020999999999999908,0.011817525773195892,0.050625,0.2025,0.21521947071952388,False,False,True,True,matched_poll_raw_share_closer_to_official_yes_share,polymarket_lower_binary_brier_than_poll_proxy,post_result_bounded_poll_proxy_not_true_mispricing_or_trade_signal
