poll_id,poll_source,poll_published_at_utc,window_hours,window_end_at_utc,reaction_status,impact_status,pre_snapshot_at_utc,pre_yes_probability,yes_probability_change,interpretation_scope
tamedia_leewas_2026_w1,Tamedia/20 Minuten/LeeWas,2026-04-29T00:00:00Z,1,2026-04-29T01:00:00Z,observed_window_change,observed_pre_post,2026-04-28T23:00:13Z,0.335,0.009999999999999953,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w1,Tamedia/20 Minuten/LeeWas,2026-04-29T00:00:00Z,6,2026-04-29T06:00:00Z,observed_window_change,observed_pre_post,2026-04-28T23:00:13Z,0.335,0.019999999999999962,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w1,Tamedia/20 Minuten/LeeWas,2026-04-29T00:00:00Z,24,2026-04-30T00:00:00Z,observed_window_change,observed_pre_post,2026-04-28T23:00:13Z,0.335,0.03999999999999998,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w1,Tamedia/20 Minuten/LeeWas,2026-04-29T00:00:00Z,48,2026-05-01T00:00:00Z,observed_window_change,observed_pre_post,2026-04-28T23:00:13Z,0.335,0.04999999999999999,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w1,YouGov Schweiz,2026-05-05T00:00:00Z,1,2026-05-05T01:00:00Z,observed_window_change,observed_pre_post,2026-05-04T23:00:06Z,0.37,0.0050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w1,YouGov Schweiz,2026-05-05T00:00:00Z,6,2026-05-05T06:00:00Z,observed_window_change,observed_pre_post,2026-05-04T23:00:06Z,0.37,0.0050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w1,YouGov Schweiz,2026-05-05T00:00:00Z,24,2026-05-06T00:00:00Z,observed_window_change,observed_pre_post,2026-05-04T23:00:06Z,0.37,0.0,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w1,YouGov Schweiz,2026-05-05T00:00:00Z,48,2026-05-07T00:00:00Z,observed_window_change,observed_pre_post,2026-05-04T23:00:06Z,0.37,-0.0050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w1,SRG/gfs.bern,2026-05-08T03:56:00Z,1,2026-05-08T04:56:00Z,observed_window_change,observed_pre_post,2026-05-08T03:00:07Z,0.405,0.0,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w1,SRG/gfs.bern,2026-05-08T03:56:00Z,6,2026-05-08T09:56:00Z,observed_window_change,observed_pre_post,2026-05-08T03:00:07Z,0.405,0.009999999999999953,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w1,SRG/gfs.bern,2026-05-08T03:56:00Z,24,2026-05-09T03:56:00Z,observed_window_change,observed_pre_post,2026-05-08T03:00:07Z,0.405,0.009999999999999953,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w1,SRG/gfs.bern,2026-05-08T03:56:00Z,48,2026-05-10T03:56:00Z,observed_window_change,observed_pre_post,2026-05-08T03:00:07Z,0.405,-0.050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_interim,YouGov Schweiz,2026-05-27T00:00:00Z,1,2026-05-27T01:00:00Z,observed_window_change,observed_pre_post,2026-05-26T23:00:05Z,0.345,0.010000000000000009,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_interim,YouGov Schweiz,2026-05-27T00:00:00Z,6,2026-05-27T06:00:00Z,observed_window_change,observed_pre_post,2026-05-26T23:00:05Z,0.345,0.015000000000000013,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_interim,YouGov Schweiz,2026-05-27T00:00:00Z,24,2026-05-28T00:00:00Z,observed_window_change,observed_pre_post,2026-05-26T23:00:05Z,0.345,-0.009999999999999953,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_interim,YouGov Schweiz,2026-05-27T00:00:00Z,48,2026-05-29T00:00:00Z,observed_window_change,observed_pre_post,2026-05-26T23:00:05Z,0.345,0.010000000000000009,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_final,YouGov Schweiz,2026-06-02T00:00:00Z,1,2026-06-02T01:00:00Z,observed_window_change,observed_pre_post,2026-06-01T23:00:07Z,0.335,0.02999999999999997,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_final,YouGov Schweiz,2026-06-02T00:00:00Z,6,2026-06-02T06:00:00Z,observed_window_change,observed_pre_post,2026-06-01T23:00:07Z,0.335,0.014999999999999958,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_final,YouGov Schweiz,2026-06-02T00:00:00Z,24,2026-06-03T00:00:00Z,observed_window_change,observed_pre_post,2026-06-01T23:00:07Z,0.335,0.0,descriptive_pre_post_window_no_causality_or_trade_signal
yougov_2026_w2_final,YouGov Schweiz,2026-06-02T00:00:00Z,48,2026-06-04T00:00:00Z,observed_window_change,observed_pre_post,2026-06-01T23:00:07Z,0.335,-0.050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w2,Tamedia/20 Minuten/LeeWas,2026-06-03T00:00:00Z,1,2026-06-03T01:00:00Z,observed_window_change,observed_pre_post,2026-06-02T23:00:06Z,0.335,0.0,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w2,Tamedia/20 Minuten/LeeWas,2026-06-03T00:00:00Z,6,2026-06-03T06:00:00Z,observed_window_change,observed_pre_post,2026-06-02T23:00:06Z,0.335,-0.030000000000000027,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w2,Tamedia/20 Minuten/LeeWas,2026-06-03T00:00:00Z,24,2026-06-04T00:00:00Z,observed_window_change,observed_pre_post,2026-06-02T23:00:06Z,0.335,-0.050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
tamedia_leewas_2026_w2,Tamedia/20 Minuten/LeeWas,2026-06-03T00:00:00Z,48,2026-06-05T00:00:00Z,observed_window_change,observed_pre_post,2026-06-02T23:00:06Z,0.335,-0.050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,1,2026-06-03T04:55:00Z,observed_window_change,observed_pre_post,2026-06-03T03:00:07Z,0.335,0.0,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,6,2026-06-03T09:55:00Z,observed_window_change,observed_pre_post,2026-06-03T03:00:07Z,0.335,-0.010000000000000009,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,24,2026-06-04T03:55:00Z,observed_window_change,observed_pre_post,2026-06-03T03:00:07Z,0.335,-0.040000000000000036,descriptive_pre_post_window_no_causality_or_trade_signal
srg_gfs_bern_2026_w2,SRG/gfs.bern,2026-06-03T03:55:00Z,48,2026-06-05T03:55:00Z,observed_window_change,observed_pre_post,2026-06-03T03:00:07Z,0.335,-0.050000000000000044,descriptive_pre_post_window_no_causality_or_trade_signal
