observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-04-28T00:00:11Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T01:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T02:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T03:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T04:00:11Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T05:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T06:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T07:00:22Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T08:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.36,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T09:00:12Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.345,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T10:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.405,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T11:00:04Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.405,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T12:00:10Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.405,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T13:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.4,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T14:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.4,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T15:00:10Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.405,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T16:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.405,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T17:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.27,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T18:00:10Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.26,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T19:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.27,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-28T20:00:20Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.27,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
