summary_id,hypothesis,summary_type,label,metric,value,source_artifact,allowed_interpretation,limitation,thesis_readiness
h2_curated_event_count,H2,coverage,curated_event_seed,event_count,7.0,data\results\h2_event_window_summary.csv,H2 uses a pre-curated event set for the initial daily baseline.,Events are fixed for the baseline; later additions require documented review.,baseline_ready_with_limitations
h2_evt_2024_05_30_trump_conviction_primary_0d_to_1d,H2,event_window,evt_2024_05_30_trump_conviction | primary_0d_to_1d,final_cumulative_abnormal_change,-0.0407692307692307,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_05_30_trump_conviction_secondary_minus_1d_to_3d,H2,event_window,evt_2024_05_30_trump_conviction | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,-0.0469230769230769,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_06_28_biden_trump_debate_primary_0d_to_1d,H2,event_window,evt_2024_06_28_biden_trump_debate | primary_0d_to_1d,final_cumulative_abnormal_change,0.0253846153846154,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_06_28_biden_trump_debate_secondary_minus_1d_to_3d,H2,event_window,evt_2024_06_28_biden_trump_debate | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,0.0084615384615384,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_13_trump_shooting_primary_0d_to_1d,H2,event_window,evt_2024_07_13_trump_shooting | primary_0d_to_1d,final_cumulative_abnormal_change,0.0719230769230769,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_13_trump_shooting_secondary_minus_1d_to_3d,H2,event_window,evt_2024_07_13_trump_shooting | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,0.0723076923076922,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_15_vance_vp_pick_primary_0d_to_1d,H2,event_window,evt_2024_07_15_vance_vp_pick | primary_0d_to_1d,final_cumulative_abnormal_change,0.0346153846153845,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_15_vance_vp_pick_secondary_minus_1d_to_3d,H2,event_window,evt_2024_07_15_vance_vp_pick | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,0.0915384615384616,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_21_biden_withdrawal_primary_0d_to_1d,H2,event_window,evt_2024_07_21_biden_withdrawal | primary_0d_to_1d,final_cumulative_abnormal_change,-0.0165384615384615,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_07_21_biden_withdrawal_secondary_minus_1d_to_3d,H2,event_window,evt_2024_07_21_biden_withdrawal | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,-0.0138461538461538,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_08_06_walz_vp_pick_primary_0d_to_1d,H2,event_window,evt_2024_08_06_walz_vp_pick | primary_0d_to_1d,final_cumulative_abnormal_change,0.013076923076923,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_08_06_walz_vp_pick_secondary_minus_1d_to_3d,H2,event_window,evt_2024_08_06_walz_vp_pick | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,-0.0208076923076923,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_09_11_harris_trump_debate_primary_0d_to_1d,H2,event_window,evt_2024_09_11_harris_trump_debate | primary_0d_to_1d,final_cumulative_abnormal_change,-0.0293461538461538,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
h2_evt_2024_09_11_harris_trump_debate_secondary_minus_1d_to_3d,H2,event_window,evt_2024_09_11_harris_trump_debate | secondary_minus_1d_to_3d,final_cumulative_abnormal_change,-0.0291153846153846,data\results\h2_event_window_summary.csv,Daily event-window movement describes Polymarket price response around a pre-curated public event.,Daily data cannot support intraday reaction-speed claims.,baseline_ready_with_limitations
