proxy_wallet,display_label,total_usdc_size,trade_count,buy_count,sell_count,first_seen_utc,last_seen_utc,market_count,topic_theme,bubble_size,claim_scope
0x709a4b4932cffc2d137fdb31c75d9a95842b7e39,Harmful-Wrench,5005.0,1,1,0,2026-05-26T09:12:05Z,2026-05-26T09:12:05Z,1,putin-out-before-2027,60.0,public_wallet_graph_forensic_review_only
0x8afa03dd6974e44d00c4d14dcccb00c0ddf6adb6,Kaleidoscopic-Camp,5004.1422,1,1,0,2026-05-26T12:49:00Z,2026-05-26T12:49:00Z,1,will-the-iranian-regime-fall-by-the-end-of-2026,59.996,public_wallet_graph_forensic_review_only
0xafeeb7b0084c22c7fa5a9112161acdaa22da3886,Starry-Globe,3324.0,1,1,0,2026-05-26T09:20:11Z,2026-05-26T09:20:11Z,1,will-the-us-invade-iran-before-2027,52.228,public_wallet_graph_forensic_review_only
0x2e5a2fdbfda425caa408f8f225b13bf3bca30122,Giant-Bolero,2773.4982,1,0,1,2026-05-26T12:48:49Z,2026-05-26T12:48:49Z,1,will-the-us-invade-iran-before-2027,49.265,public_wallet_graph_forensic_review_only
0x7fc40a33a89859cc0fdb4c80aec8e218d74c55ea,Snarling-Blocker,1427.824,1,0,1,2026-05-26T13:31:21Z,2026-05-26T13:31:21Z,1,will-china-invade-taiwan-before-2027,40.433,public_wallet_graph_forensic_review_only
0x1d8ee9d4e32e25cc0a8f36b27b91341a78efb551,Svelte-Contributor,999.999997,1,1,0,2026-05-26T09:34:25Z,2026-05-26T09:34:25Z,1,will-china-invade-taiwan-before-2027,36.774,public_wallet_graph_forensic_review_only
0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,Opulent-Right,998.8092,1,0,1,2026-05-26T13:51:04Z,2026-05-26T13:51:04Z,1,will-the-us-invade-iran-before-2027,36.762,public_wallet_graph_forensic_review_only
0xe291a588ece487f3323736c55c6144f6a99e748e,Closed-Closet,993.44874,1,0,1,2026-05-26T09:24:09Z,2026-05-26T09:24:09Z,1,xi-jinping-out-before-2027,36.712,public_wallet_graph_forensic_review_only
0x6ac0caf622798132614a5972f81d86ff23fc55f3,Intentional-Star,930.0,1,0,1,2026-05-26T10:24:55Z,2026-05-26T10:24:55Z,1,will-the-us-invade-iran-before-2027,36.105,public_wallet_graph_forensic_review_only
0x6a7825117c9db7cd5cd64c76409767dd56fb3a8b,Vague-Relief,468.775,1,0,1,2026-05-26T09:01:10Z,2026-05-26T09:01:10Z,1,will-the-iranian-regime-fall-by-the-end-of-2026,30.854,public_wallet_graph_forensic_review_only
0x63cc40081ebb2b5563bd2949816169d720f8eec5,Sunny-Course,389.868875,17,10,7,2026-05-26T08:53:32Z,2026-05-26T11:53:17Z,1,will-china-invade-taiwan-before-2027,29.722,public_wallet_graph_forensic_review_only
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,Broken-Dogwood,380.0,1,1,0,2026-05-26T13:56:12Z,2026-05-26T13:56:12Z,1,will-the-us-invade-iran-before-2027,29.573,public_wallet_graph_forensic_review_only
0xec3f850a83f269bdea0e67afdda494fd946bd26b,Biodegradable-Waterskiing,373.2000000000001,1,1,0,2026-05-26T09:26:03Z,2026-05-26T09:26:03Z,1,will-china-invade-taiwan-before-2027,29.469,public_wallet_graph_forensic_review_only
